time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.04,0.012,PIP,49.5855715,59.917212,70.276464,0.209666,0.12099,-0.150465,49.574,59.774,69.974,20.400000000000006,20.69509662457932,587.4157919081468,49.71000941793276,-587.2061127277083,0.035230746108057265,-2.1183958718449045e-4,0.035018906520876296,0.2950966245793154,2.478374270519223
0.04,0.012,DIP,83.860913,92.02578799999999,100.189409,-0.715934,-1.1974,-1.84749,83.583,91.583,99.583,16,16.36881092009201,397.97517301603244,64.51749963119337,-398.22073987834966,0.041130231305741755,0.048623730699992776,0.08975396200573645,0.36881092009200955,3.2828380643167594
0.05,0.015,MCP,0,15.3713573,30.0653303,0,0.0873773,0.152983,0,15.4,30,30,30.065726966919296,12326.179025631294,77.751751006656,-12325.93379980309,0.0024391765610737963,-0.006307896913180359,6.279316586827443,0.06572696691929636,0.22640967462409264
0.05,0.015,PIP,49.6252072,60.011425,70.42594100000001,0.0756899,-0.123681,-0.58757,49.574,59.774,69.974,20.400000000000006,20.813529408912075,411.01360280642103,46.93069827954542,-410.9290805268066,0.0506395147673855,0.006555812759544175,0.0571953275269264,0.41352940891206913,3.5446925410483616
0.05,0.015,DIP,83.990263,92.19048,100.376434,-1.48164,-2.20829,-3.15465,83.583,91.583,99.583,16,16.473315105426366,308.3252732408848,60.87765507952597,-308.93941185522687,0.05342836457184061,0.07503215218708509,0.12846051675892273,0.4733151054263658,4.226297711060515
0.06,0.018,MCP,0,15.3862982,30.126558,0,0.0800349,0.0799676,0,15.4,30,30,30.12680022853456,2893.3477517731235,22.74321790733049,-2893.2583636325685,0.010412436669623285,-0.007860600962573419,0.0025518357070526527,0.12680022853455952,0.7413941513428726
0.06,0.018,PIP,49.683899,60.124796,70.589122,-0.173114,-0.52324,-1.22336,49.574,59.774,69.974,20.400000000000006,20.935453068016926,314.49427949671565,44.365446146796586,-314.62241976391255,0.06656862917036162,0.01691193364489925,0.08348056281526216,0.5354530680169205,4.648195955052962
0.06,0.018,DIP,84.120379,92.343924,100.535639,-2.49996,-3.5067,-4.78351,83.583,91.583,99.583,16,16.57630607848733,252.638512288593,57.53704361940124,-253.73599278876253,0.06561274418665018,0.1054179569725206,0.17103070115917088,0.5763060784873311,5.155441473638606
0.07,0.021,MCP,0,15.430764400000001,30.220319,0,0.0284842,-0.120935,0,15.4,30,30,30.221280083400288,1264.6355671914123,10.049770810042904,-1264.5956349411501,0.023897224518615857,-0.00794685587658868,0.01595036864202958,0.2212800834002877,1.5658788707293114
0.07,0.021,PIP,49.769861,60.238649,70.723574,-0.655352,-1.18967,-2.12216,49.574,59.774,69.974,20.400000000000006,21.00996885182654,278.58780616175466,40.806368535162505,-279.0989217674705,0.07541596720004197,0.03218030190194139,0.10759626910198428,0.6099688518265332,5.2820429956558055
0.07,0.021,DIP,84.214826,92.445736,100.63228,-3.74234,-4.99555,-6.55949,83.583,91.583,99.583,16,16.661344314907947,221.16422227310522,55.04613131774212,-222.9746379494598,0.07533471799219696,0.13227240909255467,0.20760712708475024,0.6613443149079465,5.905969279837932
0.08,0.024,MCP,0,15.4763509,30.31496,0,-0.0251886,-0.329169,0,15.4,30,30,30.318543521044468,803.9769272179481,6.429721764454574,-803.9512162916636,0.03771071344790656,-0.007997481131371172,0.029713232316525787,0.31854352104446804,2.417135695769587
0.08,0.024,PIP,49.852546,60.350421000000004,70.854336,-1.15389,-1.88398,-3.06951,49.574,59.774,69.974,20.400000000000006,21.09545982193848,245.55152759423186,38.069306136479206,-246.4225344741348,0.08591052162704617,0.04800526778800569,0.13391578941504964,0.6954598219384742,6.023387570541657
0.08,0.024,DIP,84.292446,92.521865,100.68867,-5.06359,-6.58648,-8.4626,83.583,91.583,99.583,16,16.74995183106773,195.57222875338434,52.82802184404498,-198.08816530609994,0.08564586054899104,0.16158616049053065,0.24723202103952266,0.7499518310677296,6.691367645564087
0.09,0.027,MCP,0,15.502049,30.392928,0,-0.0476426,-0.457172,0,15.4,30,30,30.399387940014293,622.3822383449203,5.838408404436656,-622.3548534353502,0.04884359814131962,-0.009380881517031446,0.03946271662428387,0.399387940014293,3.123108562864952
0.09,0.027,PIP,49.918178999999995,60.46076,70.99237000000001,-1.52252,-2.44493,-3.91058,49.574,59.774,69.974,20.400000000000006,21.21826256676326,207.99320006778186,37.06648826312041,-209.1182938482167,0.10201421277161248,0.06182837956362577,0.16384259233523688,0.8182625667632557,7.137908331827702
0.09,0.027,DIP,84.35809,92.57616,100.7022,-6.33015,-8.16586,-10.4033,83.583,91.583,99.583,16,16.850723843381754,172.2376312814918,50.930149049126946,-175.2927920048055,0.09783415922529869,0.1953198946064071,0.2931540538317075,0.8507238433817541,7.598361676655271
0.1,0.03,MCP,0,15.528612,30.464418,0,-0.0734235,-0.585514,0,15.4,30,30,30.474477354900543,515.739714736223,5.326052010646984,-515.7122128922105,0.059088870769796784,-0.010327199033036636,0.04876167173675799,0.474477354900543,3.770077682069898
0.1,0.03,PIP,49.975128,60.552256,71.1014,-1.87118,-2.96615,-4.679,49.574,59.774,69.974,20.400000000000006,21.32391903863068,184.4344772004199,36.27997397316275,-185.79648858034037,0.11561785715074606,0.07432325514454216,0.18994111229529176,0.9239190386306753,8.081660758467207
0.1,0.03,DIP,84.39234,92.59269,100.67226,-7.46815,-9.58004,-12.1382,83.583,91.583,99.583,16,16.9449142530289,155.24311747712576,49.78949377809242,-158.8057479634925,0.10915082438695321,0.22478272562882887,0.3339335500157828,0.9449142530289016,8.440655654762026
0.11,0.033,MCP,0,15.55892,30.528632,0,-0.107902,-0.724082,0,15.4,30,30,30.543172722742206,446.49046466886034,4.683567608684057,-446.4658992965417,0.06840722286285453,-0.01048992951913131,0.057917293343723655,0.5431727227422058,4.345672650171361
0.11,0.033,PIP,50.023008,60.617402,71.17228,-2.2055,-3.43862,-5.33493,49.574,59.774,69.974,20.400000000000006,21.393203326358417,172.82344948105523,35.34905954667899,-174.40486099567886,0.12378646179437312,0.08500951256604933,0.2087959743604216,0.9932033263584117,8.66205972378647
0.11,0.033,DIP,84.401298,92.58725,100.6302,-8.39097,-10.7083,-13.511,83.583,91.583,99.583,16,17.0274267444771,143.23220054550853,49.497546680990936,-147.30530121521176,0.11887987952169353,0.24616511743330674,0.36504499695500364,1.0274267444771006,9.165658902110861
0.12,0.036,MCP,0,15.569061,30.565746,0,-0.113023,-0.769367,0,15.4,30,30,30.58220944030346,419.1790727635625,4.742121104178812,-419.1522483899535,0.07295738606100052,-0.011313117873735207,0.06164426818726375,0.5822094403034583,4.640447584130441
0.12,0.036,PIP,50.049907999999995,60.670064000000004,71.24027000000001,-2.35087,-3.67524,-5.71661,49.574,59.774,69.974,20.400000000000006,21.471917088652347,160.92693964829644,35.457098175263525,-162.61480794608167,0.1334264923920067,0.0908044557994005,0.22423094819140757,1.0719170886523415,9.334912589450106
0.12,0.036,DIP,84.41306399999999,92.58939,100.59756,-8.99494,-11.4941,-14.5198,83.583,91.583,99.583,16,17.11342299307714,132.44257658068418,49.8073479219849,-136.8365627449347,0.12921390866064603,0.264356787026302,0.39357069568695036,1.1134229930771404,9.925626533207177
0.13,0.039,MCP,0,15.555679,30.57204,0,-0.0839266,-0.705598,0,15.4,30,30,30.586780731336308,425.04320528573174,5.485047341427054,-425.0078124167025,0.07196158026046928,-0.012905040059121537,0.059056540201344127,0.586780731336308,4.611078827968956
0.13,0.039,PIP,50.054857999999996,60.713381,71.31305,-2.27694,-3.63991,-5.78682,49.574,59.774,69.974,20.400000000000006,21.56496497059612,148.40523965133158,36.572266180918405,-150.06846504054215,0.14531134494483885,0.09097527782158364,0.2362866227664238,1.1649649705961131,10.150647169791831
0.13,0.039,DIP,84.437228,92.61084,100.58708,-9.245,-11.9055,-15.137,83.583,91.583,99.583,16,17.205231334467857,122.46183149876252,50.64361760457454,-126.95180554017892,0.14049464330150668,0.27958021584629444,0.4200748591478008,1.2052313344678574,10.74330832777929
0.14,0.042,MCP,0,15.536458,30.561826,0,-0.0491039,-0.609395,0,15.4,30,30,30.573830022074315,448.1408021931847,6.3520732154368575,-448.0957818996033,0.06822371422652682,-0.014174754681964727,0.05404895954456365,0.5738300220743149,4.406898485067953
0.14,0.042,PIP,50.047034,60.736777000000004,71.36704,-2.11106,-3.46359,-5.64663,49.574,59.774,69.974,20.400000000000006,21.63237270769079,141.04201963586027,37.70049912089455,-142.61164497900083,0.15337537539196375,0.08765017624414788,0.2410255516361141,1.2323727076907858,10.70951386957665
0.14,0.042,DIP,84.46682799999999,92.65228,100.61827,-9.18525,-11.9394,-15.3063,83.583,91.583,99.583,16,17.288756006015756,114.77401403977784,51.98390055972229,-119.26673674374258,0.15063301698260637,0.2869376312995388,0.4375706482821458,1.2887560060157561,11.479076732485632
0.15,0.045,MCP,0,15.513848000000001,30.538292,0,-0.0108731,-0.489486,0,15.4,30,30,30.547152585260843,490.4182257868469,7.413250525574796,-490.3621925684767,0.06228796357690367,-0.015116756443276988,0.04717120713362843,0.547152585260843,4.063905711872352
0.15,0.045,PIP,50.028206999999995,60.742555,71.40453000000001,-1.8742,-3.17559,-5.33606,49.574,59.774,69.974,20.400000000000006,21.677402921418434,137.1017250412247,38.86698981876392,-138.52086201672424,0.15811181744722994,0.08149848027454443,0.23961029772177433,1.2774029214184281,11.043960523395889
0.15,0.045,DIP,84.501823,92.71312,100.68982,-8.87191,-11.6623,-15.1053,83.583,91.583,99.583,16,17.36512190774572,108.67522054004667,53.66876547394958,-113.08143990500939,0.15978915728398912,0.28766866223923737,0.44745781952322655,1.3651219077457206,12.143347054160472
0.16,0.048,MCP,0,15.4783466,30.496754,0,0.0474262,-0.30658,0,15.4,30,30,30.50190025473893,572.6733820765844,9.493696268863228,-572.5946841092643,0.053262297863636114,-0.016578614391863897,0.03668368347177043,0.5019002547389313,3.544732674661402
0.16,0.048,PIP,49.994606,60.742029,71.44556,-1.5144,-2.73758,-4.85939,49.574,59.774,69.974,20.400000000000006,21.734762375061653,131.92793500220864,40.462256617769796,-133.0975081453926,0.16474723397055965,0.07231723242979052,0.23706446640035062,1.334762375061647,11.499661958124316
0.16,0.048,DIP,84.543976,92.78549,100.77445,-8.37998,-11.2023,-14.72,83.583,91.583,99.583,16,17.445735235224646,102.81478419106917,55.38459865646012,-106.97313676654835,0.16968119295765677,0.28755737410721627,0.45723856706487226,1.445735235224646,12.849742806428573
0.17,0.051,MCP,0,15.4375844,30.44976,0,0.116553,-0.099097,0,15.4,30,30,30.452358477537892,694.8206782146876,12.964180791699478,-694.699722823551,0.04382765141040986,-0.018659394466875062,0.025168256943535076,0.45235847753789216,2.9829230325022005
0.17,0.051,PIP,49.954733,60.73847,71.48649,-1.11548,-2.25544,-4.33955,49.574,59.774,69.974,20.400000000000006,21.798789747844392,126.42894634605302,42.06794945394829,-127.29819323549388,0.17241929461452737,0.062421683230632664,0.2348409778451598,1.3987897478443863,12.020879882093567
0.17,0.051,DIP,84.58475,92.85602,100.85446999999999,-7.85015,-10.7094,-14.3079,83.583,91.583,99.583,16,17.528090465840602,97.43744204377556,56.91828428181927,-101.27724342957669,0.17989070831688894,0.28790158623316087,0.4677922945500497,1.5280904658406023,13.574311737231048
0.18,0.054,MCP,0,15.40786398,30.417341,0,0.167629,0.0531219,0,15.4,30,30,30.419123988297844,821.7896082058247,16.64362440435216,-821.6210500722153,0.03701570777307651,-0.020254286817419174,0.01676142095565772,0.41912398829784436,2.569295254872645
0.18,0.054,PIP,49.924927,60.735895,71.51923000000001,-0.822237,-1.89862,-3.95251,49.574,59.774,69.974,20.400000000000006,21.848821125489373,122.77716557587439,43.178281896445775,-123.41389726566557,0.17795508654243317,0.05497801635811754,0.23293310290055202,1.448821125489367,12.400862712566834
0.18,0.054,DIP,84.61664,92.91505,100.92277,-7.45464,-10.3473,-14.0204,83.583,91.583,99.583,16,17.60464442192976,92.99692981670715,58.18956893215586,-96.61763047311429,0.18930350127286716,0.2881421255086184,0.47744562678148617,1.604644421929759,14.240281595220594
0.19,0.057,MCP,0,15.392005170000001,30.406172,0,0.198143,0.139593,0,15.4,30,30,30.407918039764503,906.5067285611941,19.364177460053515,-906.2998827970872,0.033544062147258295,-0.021362941737748924,0.01218112040951149,0.40791803976450325,2.3635265567916206
0.19,0.057,PIP,49.912656999999996,60.749071,71.55906,-0.665532,-1.72064,-3.78762,49.574,59.774,69.974,20.400000000000006,21.90118962972596,119.19824174233429,43.791580202193494,-119.706505002153,0.18373752254726053,0.05137466924929755,0.23511219179655699,1.5011896297259533,12.802359246974698
0.19,0.057,DIP,84.64151,92.95497,100.95633,-7.33368,-10.2923,-14.0717,83.583,91.583,99.583,16,17.680551446550627,88.96020898768947,59.00804650191715,-92.52079365121982,0.19874673910666402,0.2922893930513545,0.49103613215801833,1.680551446550627,14.899139364572086
0.2,0.06,MCP,0,15.3863672,30.418668,0,0.216922,0.17429,0,15.4,30,30,30.420621093481113,898.2426530313367,20.35517726572239,-898.0119879396128,0.03386681871632279,-0.02266305185111665,0.011203766865212912,0.4206210934811132,2.3923114254045204
0.2,0.06,PIP,49.921544,60.7906,71.62228,-0.640501,-1.73418,-3.89483,49.574,59.774,69.974,20.400000000000006,21.977563875251715,113.74946454613931,43.98088378460162,-114.23473166660818,0.19321026224556095,0.05224960065737884,0.24545986290294006,1.577563875251709,13.443329199676425
0.2,0.06,DIP,84.65981,92.96475,100.92422,-7.59284,-10.6916,-14.6518,83.583,91.583,99.583,16,17.762545941563882,84.94062272163241,59.15911965047576,-88.61520839315656,0.20911720885041465,0.3049210214231944,0.5140382302736088,1.7625459415638822,15.618025721969605
0.21,0.063,MCP,0,15.399589145,30.465089,0,0.211115,0.119399,0,15.4,30,30,30.467312867729667,769.5314799087595,18.24788382582448,-769.3150936426796,0.03959202925829891,-0.023715201888884332,0.015876827369423797,0.4673128677296674,2.748910761434949
0.21,0.063,PIP,49.959953,60.86037,71.70202,-0.816635,-2.01996,-4.3571,49.574,59.774,69.974,20.400000000000006,22.066969623747443,107.77622439657719,43.59962262578908,-108.40502072407456,0.2047480299787553,0.059048533560958245,0.2637965635397128,1.6669696237474376,14.213975582176733
0.21,0.063,DIP,84.66185,92.93073,100.8099,-8.31014,-11.6173,-15.8242,83.583,91.583,99.583,16,17.846626968346538,81.15515901444796,58.70449895239767,-85.20211462188023,0.21990748567406937,0.3255695204157652,0.5454770060898345,1.8466269683465377,16.357561764696126
0.22,0.066,MCP,0,15.4375768,30.550093,0,0.171264,-0.0513712,0,15.4,30,30,30.55353207248737,591.565763597129,14.280638152372452,-591.3933682704054,0.051648580686449404,-0.024142752038858562,0.027505828647588878,0.5535320724873714,3.4821857108928174
0.22,0.066,PIP,50.029109999999996,60.95087,71.78201,-1.23668,-2.62336,-5.20961,49.574,59.774,69.974,20.400000000000006,22.155856515819703,102.47749175353341,42.6012008289518,-103.44461746790006,0.21620217412333154,0.07254694308074525,0.2887491172040778,1.7558565158196977,14.979352365561585
0.22,0.066,DIP,84.63153,92.83561,100.59844,-9.49941,-13.0663,-17.5664,83.583,91.583,99.583,16,17.92871952156699,77.78786040605709,57.769578097182794,-82.50205903770932,0.2304822298489513,0.35258313521244866,0.5830653650614014,1.9287195215669897,17.075274176169046
0.23,0.069,MCP,0,15.4920114,30.662308,0,0.109136,-0.303731,0,15.4,30,30,30.669809370787753,447.6910926925594,10.899288217127967,-447.5583984159137,0.06850663296946467,-0.024347960817954928,0.044158672151508,0.6698093707877533,4.505821787006455
0.23,0.069,PIP,50.115382,61.05156,71.85196,-1.83671,-3.47074,-6.37721,49.574,59.774,69.974,20.400000000000006,22.254389227315006,97.12810345011887,41.25366994275824,-98.55970901901061,0.22912409937813696,0.09136442031788039,0.32048851969601694,1.854389227315,15.842528595615356
0.23,0.069,DIP,84.550962,92.65646,100.258683,-11.0869,-14.9688,-19.8131,83.583,91.583,99.583,16,18.012537298973985,74.61929418543797,56.431103767205194,-80.20500643890976,0.2413924909851151,0.38638709677769506,0.6277795877628112,2.012537298973985,17.81043678548955
0.24,0.072,MCP,0,15.554163,30.788058,0,0.0364641,-0.600209,0,15.4,30,30,30.80389757292791,349.145947113475,8.595389690782051,-349.04012901359795,0.08822642172305215,-0.024620816085815855,0.06360560563723798,0.8038975729279088,5.704886846988524
0.24,0.072,PIP,50.203798,61.14847,71.89876000000001,-2.53983,-4.46593,-7.74796,49.574,59.774,69.974,20.400000000000006,22.366883735362634,91.58662960765841,39.83142542520387,-93.53721792987427,0.2442156003685098,0.11349554292773222,0.35771114329624226,1.9668837353626287,16.846660786776837
0.24,0.072,DIP,84.405238,92.377816,99.773175,-12.9415,-17.1839,-22.4132,83.583,91.583,99.583,16,18.10053773189324,71.56420795546337,54.84073840028662,-78.11339749969963,0.25292724182957166,0.42587580846302375,0.6788030502925951,2.1005377318932403,18.587076412047242
0.25,0.075,MCP,0,15.621922,30.918349,0,-0.0457372,-0.929189,0,15.4,30,30,30.947774980717057,282.55791338787503,6.984019631475662,-282.4715877533474,0.10952719253073685,-0.02471964375442505,0.08480754877631239,0.9477749807170568,6.997315583510738
0.25,0.075,PIP,50.284481,61.22596,71.9066,-3.30613,-5.54345,-9.21743,49.574,59.774,69.974,20.400000000000006,22.478486870729455,86.71843898459204,38.41851554536242,-89.20890366740704,0.2592123097917317,0.1372638796400298,0.396476189431762,2.0784868707294493,17.842753815505727
0.25,0.075,DIP,84.193704,92.010504,99.171277,-14.9053,-19.5146,-25.1303,83.583,91.583,99.583,16,18.187986591888876,68.75572806959653,53.254766916969494,-76.30670319693503,0.26453049225918274,0.4667467636798574,0.7312772559390409,2.187986591888876,19.356998045443916
0.26,0.078,MCP,0,15.689166,31.04124,0,-0.129601,-1.25927,0,15.4,30,30,31.088788430459594,238.44242017908812,5.876053064579161,-238.37000595973282,0.13038279181661377,-0.02464598362475012,0.10573680819186329,1.0887884304595943,8.259042589857764
0.26,0.078,PIP,50.349115,61.27702,71.87646000000001,-4.06189,-6.60002,-10.6471,49.574,59.774,69.974,20.400000000000006,22.582114422186176,82.70534765723238,37.144959610990696,-85.70639264143061,0.2730429780160827,0.16033911608558016,0.4333820941016623,2.182114422186171,18.757412519387373
0.26,0.078,DIP,83.936577,91.59015802,98.50916,-16.7964,-21.7499,-27.7253,83.583,91.583,99.583,16,18.273296474444177,66.23859562389775,51.858430743005805,-74.74934714629391,0.27587083183646915,0.5055420974640841,0.7814129293005531,2.2732964744441766,20.104695863644807
0.27,0.081,MCP,0,15.744636,31.14363,0,-0.197578,-1.53425,0,15.4,30,30,31.20990363084886,210.771561633699,5.229418818634373,-210.70667851856876,0.14807454757624613,-0.02481338300878881,0.12326116456745789,1.20990363084886,9.329418751302558
0.27,0.081,PIP,50.39431,61.308930000000004,71.82964,-4.69682,-7.4976,-11.8777,49.574,59.774,69.974,20.400000000000006,22.68373196595488,79.13835210468874,36.23128619751549,-82.5575131038759,0.2866338679373503,0.17993473412056488,0.4665686020579143,2.2837319659548747,19.6520158253776
0.27,0.081,DIP,83.6698119,91.164819,97.8467,-18.4358,-23.7007,-30.002,83.583,91.583,99.583,16,18.359619631717603,63.8720238023118,50.79756966809718,-73.19939297243188,0.2874438375170616,0.5406086132693873,0.8280524507864491,2.359619631717603,20.861509115303946
0.28,0.084,MCP,0,15.782680000000001,31.2194,0,-0.240774,-1.72305,0,15.4,30,30,31.30068679664955,194.47501025813364,4.927299132138119,-194.41258019522198,0.1609496600879621,-0.025339124263782986,0.13561053582417945,1.3006867966495506,10.10772034003081
0.28,0.084,PIP,50.423438,61.33243,71.78944,-5.14648,-8.15037,-12.8022,49.574,59.774,69.974,20.400000000000006,22.78134999063238,76.00611333439953,35.7559346791434,-79.7239136547876,0.29973049523533246,0.19419623621655138,0.4939267314518832,2.3813499906323727,20.504029353908997
0.28,0.084,DIP,83.436202,90.792385,97.26034,-19.6933,-25.2215,-31.8018,83.583,91.583,99.583,16,18.445905810810675,61.673419464446084,50.166052778348536,-71.6231357325205,0.2990900451278609,0.5697919270009676,0.8688819721288286,2.4459058108106753,21.617636648269674
0.29,0.087,MCP,0,15.804098,31.26833,0,-0.260377,-1.82395,0,15.4,30,30,31.358604345551093,186.01007915831852,4.840662931812782,-185.9470826091781,0.16858551153489315,-0.026026597562187313,0.14255891397270645,1.3586043455510932,10.565507848374846
0.29,0.087,PIP,50.441682,61.35452,71.77202,-5.4002,-8.53508,-13.3775,49.574,59.774,69.974,20.400000000000006,22.865148861440392,73.57387247214905,35.644985355225266,-77.47080759387674,0.3107781076780464,0.2024944813626931,0.5132725890407401,2.4651488614403867,21.215045117018825
