u1,u2,joint,pressure
31.400149126876844,-1.4452278271915702,MCP_end,0.294
31.4348354242019,-1.4942698027128807,MCP_end,0.301
31.46966045990965,-1.5441407623366952,MCP_end,0.308
31.504620445148113,-1.5948524732435307,MCP_end,0.315
31.539711347981942,-1.6464168454049566,MCP_end,0.322
31.574928887171076,-1.6988459303120935,MCP_end,0.329
31.610268525869667,-1.7521519195676587,MCP_end,0.336
31.64572546524646,-1.806347143337822,MCP_end,0.343
31.681294638027893,-1.8614440686601201,MCP_end,0.35
31.716970701965217,-1.9174552976036086,MCP_end,0.357
31.752748033227086,-1.9743935652774078,MCP_end,0.364
31.788620719719216,-2.032271737683769,MCP_end,0.371
31.82458255433265,-2.0911028094117405,MCP_end,0.378
31.860627028122522,-2.1508999011674765,MCP_end,0.385
31.896747323418996,-2.211676257137218,MCP_end,0.392
31.93293630687261,-2.2734452421789197,MCP_end,0.399
31.969186522435777,-2.336220338838502,MCP_end,0.406
32.00549018428306,-2.400015144186631,MCP_end,0.413
32.04183916967207,-2.464843366471956,MCP_end,0.42
32.07822501174791,-2.530718821586685,MCP_end,0.427
32.11463889229331,-2.5976554293403478,MCP_end,0.434
32.15107163442744,-2.665667209537605,MCP_end,0.441
32.187513695256136,-2.734768277855925,MCP_end,0.448
32.22395515847641,-2.8049728415189303,MCP_end,0.455
32.260385726938416,-2.876295194761251,MCP_end,0.462
32.29679471516816,-2.94874971408062,MCP_end,0.469
32.33317104185418,-3.02235085327306,MCP_end,0.476
32.36950322230172,-3.0971131382468817,MCP_end,0.483
32.40577936085821,-3.1730511616113333,MCP_end,0.49
32.441987143313696,-3.2501795770356354,MCP_end,0.497
32.47811382928013,-3.328513093374215,MCP_end,0.504
32.5141462445538,-3.4080664685539297,MCP_end,0.511
32.550070773464995,-3.488854503219093,MCP_end,0.518
32.585873351219355,-3.570892034130103,MCP_end,0.525
32.62153945623555,-3.65419392731155,MCP_end,0.532
32.657054102483855,-3.73877507094563,MCP_end,0.539
32.692401831830686,-3.824650368006778,MCP_end,0.546
32.727566706394065,-3.9118347286334147,MCP_end,0.553
32.762532300915176,-4.000343062232791,MCP_end,0.56
32.79728169515162,-4.090190269314875,MCP_end,0.567
32.83179746629765,-4.181391233051358,MCP_end,0.574
32.86606168143738,-4.2739608105558045,MCP_end,0.581
32.900055890036725,-4.3679138238811195,MCP_end,0.588
32.93376111648023,-4.463265050730488,MCP_end,0.595
32.96715785265903,-4.56002921487802,MCP_end,0.602
49.69181995670098,-0.11508190855143438,PIP_start,0.007
49.71915574503123,-0.23142976584025962,PIP_start,0.014
49.74618867136623,-0.34904733053912423,PIP_start,0.021
49.77290908613892,-0.46793836621309404,PIP_start,0.028
49.79930719220164,-0.5881066407331292,PIP_start,0.035
49.825373042945714,-0.7095559256528469,PIP_start,0.042
49.85109654038365,-0.8322899955472769,PIP_start,0.049
49.876467433193696,-0.9563126273122939,PIP_start,0.056
49.90147531472633,-1.0816275994233697,PIP_start,0.063
49.92610962097258,-1.20823869115226,PIP_start,0.07
49.9503596284937,-1.3361496817402085,PIP_start,0.077
49.97421445231225,-1.4653643495262156,PIP_start,0.084
49.99766304376408,-1.5958864710288851,PIP_start,0.091
50.02069418831139,-1.7277198199803314,PIP_start,0.098
50.043296503316355,-1.860868166310593,PIP_start,0.105
50.0654584357755,-1.995335275080969,PIP_start,0.112
50.087168260014494,-2.131124905364652,PIP_start,0.119
50.10841407534353,-2.2682408090730064,PIP_start,0.126
50.12918380367306,-2.406686729725804,PIP_start,0.133
50.14946518708997,-2.5464664011636873,PIP_start,0.14
50.169245785394324,-2.6875835462011057,PIP_start,0.147
50.18851297359653,-2.830041875217935,PIP_start,0.154
50.20725393937532,-2.9738450846879405,PIP_start,0.161
50.22545568049636,-3.1189968556422416,PIP_start,0.168
