time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.24,0.168,0,0,-0.21506,0.460465,-0.0160611,1.08844,-0.100114,1.72961,0.512111,1.54075,1.1854,0.466737,0.91071,-2.22527,1.53734,-4.95541,1.78216,-9.02141,-0.0326703,-16.627
0.25,0.175,0,0,-0.222866,0.481074,-0.0128409,1.13021,-0.100724,1.78534,0.537592,1.58328,1.23499,0.457018,0.938739,-2.34957,1.57485,-5.20025,1.79438,-9.44193,-0.167998,-17.3343
0.26,0.182,0,0,-0.220886,0.489633,0.00957025,1.12772,-0.0799256,1.72882,0.587792,1.47703,1.30751,0.255773,0.976735,-2.73269,1.60927,-5.75069,1.78175,-10.2137,-0.369566,-18.4554
0.27,0.189,0,0,-0.209487,0.485079,0.0487883,1.0827,-0.040894,1.57096,0.657843,1.23875,1.39687,-0.112573,1.01898,-3.33636,1.6352,-6.55913,1.74009,-11.2792,-0.638417,-19.9172
0.28,0.196,0,0,-0.193053,0.473986,0.0970407,1.01485,0.0072539,1.35808,0.737261,0.92815,1.49312,-0.573597,1.05811,-4.06279,1.64798,-7.5117,1.66928,-12.5088,-0.965222,-21.566
0.29,0.203,0,0,-0.177342,0.463802,0.144048,0.949838,0.0532014,1.15203,0.814229,0.625228,1.58584,-1.02768,1.08919,-4.78209,1.64831,-8.45837,1.57801,-13.7328,-1.32598,-23.2038
0.3,0.21,0,0,-0.1665,0.45971,0.181346,0.907256,0.0882389,1.00356,0.878846,0.398232,1.66656,-1.38578,1.11185,-5.37235,1.64313,-9.25433,1.48506,-14.7843,-1.68023,-24.633
0.31,0.217,0,0,-0.163607,0.465821,0.203108,0.901905,0.106863,0.949163,0.925779,0.29553,1.73208,-1.58611,1.12947,-5.75212,1.64204,-9.80423,1.40893,-15.5551,-1.99323,-25.7281
0.32,0.224,0,0,-0.169914,0.483419,0.207786,0.938336,0.107873,0.998994,0.954619,0.329984,1.78342,-1.61356,1.14555,-5.90405,1.65136,-10.0898,1.35876,-16.0272,-2.2523,-26.4732
0.33,0.231,0,0,-0.182989,0.509488,0.19971,1.00572,0.0956484,1.12612,0.969828,0.466677,1.82424,-1.51143,1.16157,-5.88446,1.67023,-10.1756,1.33108,-16.273,-2.46601,-26.9527
0.34,0.238,0,0,-0.198275,0.538321,0.187016,1.0837,0.0783947,1.28031,0.979695,0.63963,1.86099,-1.36318,1.17731,-5.8034,1.69185,-10.1894,1.31009,-16.4372,-2.66639,-27.3345
0.35,0.245,0,0,-0.210902,0.56394,0.179229,1.14978,0.0660923,1.40466,0.99495,0.773106,1.90178,-1.26575,1.19208,-5.78981,1.70756,-10.2836,1.27336,-16.6939,-2.89999,-27.8218
0.36,0.252,0,0,-0.216451,0.580822,0.185087,1.1834,0.0681459,1.44792,1.02509,0.799483,1.95353,-1.30466,1.20488,-5.9554,1.70835,-10.5875,1.20038,-17.1889,-3.20768,-28.5815
0.37,0.259,0,0,-0.212409,0.58573,0.209146,1.17339,0.0893925,1.38325,1.07492,0.683414,2.01899,-1.52428,1.21351,-6.35703,1.68689,-11.1669,1.07652,-17.9953,-3.6161,-29.6947
0.38,0.266,0,0,-0.199427,0.57962,0.250049,1.12285,0.127998,1.21819,1.14215,0.434352,2.09544,-1.91331,1.21428,-6.98,1.6384,-12.0048,0.895679,-19.0931,-4.13241,-31.1358
0.39,0.273,0,0,-0.180646,0.566293,0.301574,1.04584,0.176793,0.988326,1.21891,0.0993666,2.1758,-2.41168,1.20426,-7.74429,1.56403,-13.0071,0.665708,-20.3745,-4.73589,-32.7776
0.4,0.28,0,0,-0.160687,0.551652,0.354584,0.963948,0.226019,0.747655,1.29496,-0.249898,2.25235,-2.92787,1.18451,-8.52876,1.47338,-14.0318,0.409197,-21.6778,-5.38053,-34.4333
0.41,0.287,0,0,-0.144816,0.542201,0.39956,0.900959,0.266395,0.554578,1.36156,-0.536364,2.32032,-3.3645,1.16101,-9.20695,1.38297,-14.9323,0.157652,-22.8388,-6.00954,-35.9168
0.42,0.294,0,0,-0.136966,0.542708,0.429841,0.874245,0.292083,0.451408,1.41355,-0.703907,2.37853,-3.65056,1.14206,-9.68712,1.3102,-15.6023,-0.0585499,-23.7389,-6.57115,-37.0957
0.43,0.301,0,0,-0.138155,0.554592,0.443469,0.889261,0.301747,0.451355,1.45018,-0.734638,2.42813,-3.7629,1.13354,-9.93943,1.26562,-16.0072,-0.222483,-24.3401,-7.03849,-37.9298
0.44,0.308,0,0,-0.147302,0.576573,0.442336,0.941333,0.297323,0.542589,1.47342,-0.644077,2.4712,-3.72141,1.13631,-9.99082,1.24917,-16.1789,-0.336006,-24.6797,-7.41743,-38.4642
0.45,0.315,0,0,-0.159528,0.602471,0.435667,1.00755,0.287481,0.668042,1.49153,-0.508094,2.51179,-3.62275,1.14308,-9.9679,1.24256,-16.265,-0.43346,-24.924,-7.76961,-38.8882
0.46,0.322,0,0,-0.169421,0.62536,0.432959,1.06311,0.281325,0.76841,1.51306,-0.404826,2.55358,-3.56501,1.14603,-9.99668,1.22667,-16.4107,-0.549852,-25.2345,-8.15614,-39.3817
0.47,0.329,0,0,-0.172837,0.640161,0.442495,1.08865,0.287041,0.794691,1.5458,-0.399892,2.60015,-3.63231,1.13748,-10.187,1.1825,-16.7444,-0.721165,-25.7548,-8.64003,-40.1048
0.48,0.336,0,0,-0.166663,0.64318,0.469413,1.0709,0.309596,0.715323,1.59417,-0.535251,2.65277,-3.87777,1.11099,-10.6069,1.09565,-17.3445,-0.972951,-26.5707,-9.26366,-41.1497
0.49,0.343,0,0,-0.150775,0.634076,0.513855,1.00895,0.348605,0.528675,1.65704,-0.812819,2.70913,-4.30315,1.0627,-11.2568,0.960631,-18.2102,-1.31255,-27.6789,-10.0355,-42.5082
0.5,0.35,0,0,-0.127443,0.615597,0.571604,0.912474,0.399164,0.258535,1.72915,-1.20124,2.76492,-4.86871,0.991394,-12.0847,0.779128,-19.2805,-1.73267,-29.0093,-10.938,-44.0984
0.51,0.357,0,0,-0.102573,0.595076,0.631522,0.808346,0.450295,-0.028386,1.80038,-1.61236,2.81519,-5.46306,0.906339,-12.9462,0.57455,-20.3882,-2.19,-30.3759,-11.8945,-45.7133
0.52,0.364,0,0,-0.0809294,0.578594,0.685214,0.719252,0.494564,-0.278278,1.86397,-1.97375,2.85933,-5.99334,0.820524,-13.7219,0.373618,-21.3946,-2.63815,-31.625,-12.829,-47.1851
0.53,0.371,0,0,-0.0663271,0.571097,0.725742,0.663098,0.526664,-0.446525,1.91685,-2.22692,2.89915,-6.38666,0.74777,-14.3193,0.20199,-22.1947,-3.03638,-32.6427,-13.677,-48.3925
0.54,0.378,0,0,-0.0610961,0.575506,0.749678,0.650761,0.544491,-0.508691,1.95785,-2.3389,2.93793,-6.60124,0.69909,-14.6867,0.0784543,-22.7294,-3.35505,-33.3661,-14.3943,-49.2715
0.55,0.385,0,0,-0.0631147,0.589087,0.760671,0.672358,0.551495,-0.487725,1.99006,-2.33982,2.97686,-6.67478,0.672145,-14.8716,-0.00280754,-23.0532,-3.60508,-33.856,-14.9997,-49.8903
0.56,0.392,0,0,-0.0682584,0.606923,0.765857,0.709296,0.553659,-0.429482,2.01857,-2.29097,3.01621,-6.68548,0.65476,-14.9759,-0.0661009,-23.2848,-3.8282,-34.244,-15.563,-50.3934
0.57,0.399,0,0,-0.0718973,0.622827,0.773929,0.738897,0.55823,-0.389176,2.04894,-2.2661,3.05489,-6.72684,0.6313,-15.1186,-0.141824,-23.5608,-4.07472,-34.6785,-16.1633,-50.9393
0.58,0.406,0,0,-0.0690897,0.630443,0.793157,0.738492,0.572099,-0.420181,2.0861,-2.33526,3.09144,-6.88578,0.586921,-15.4085,-0.258323,-24.004,-4.39071,-35.2919,-16.8728,-51.6668
0.59,0.413,0,0,-0.0561874,0.625458,0.83016,0.691232,0.600548,-0.564388,2.13419,-2.55577,3.12364,-7.23688,0.504871,-15.9417,-0.447537,-24.7266,-4.82949,-36.2053,-17.7746,-52.7015
