pressure,theta2,theta4,theta6,rep,finger,L1,L2,L3,L4,d1,d3,d5,d7,theta_final,d_1_3,d_3_5,d_5_7
0,3,5,3,1,little,16.4,48.5,34.5,23.6,0,0.20000000000000284,0,0,11,0.0998629534754588,0.10000000000000142,0
0.42857142857142855,7,8,11,1,little,16.9,48.3,35.2,25.1,0.5,0,0.7000000000000028,1.5,26,0.5,0.346593824059551,1.8224407751714975
0.8571428571428571,12,14,17,1,little,17.2,48.9,35.6,24.5,0.8000000000000007,0.6000000000000014,1.1000000000000014,0.8999999999999986,43,1.0934442802201432,0.8336626494517995,1.4106742803667314
1.2857142857142856,18,20,23,1,little,17.5,49.1,35.7,25.1,1.1000000000000014,0.8000000000000043,1.2000000000000028,1.5,61,1.4804226065180648,0.9638155724715485,1.980757280178662
1.7142857142857142,24,25,36,1,little,17.6,49.6,36.1,26.1,1.2000000000000028,1.3000000000000043,1.6000000000000014,2.5,85,1.7938045474676954,1.3750462296293229,2.8225424859373693
2.142857142857143,30,31,40,1,little,17.5,50.2,36.4,26.6,1.1000000000000014,1.9000000000000057,1.8999999999999986,3,101,1.9227241335952208,1.764308935667009,3.2481333293569334
2.571428571428571,37,37,45,1,little,17.9,50.6,37,27.1,1.5,2.3000000000000043,2.5,3.5,119,2.4184308365543883,2.148294387559118,3.7248737341529163
3,43,40,53,1,little,18,50.5,38.5,27.2,1.6000000000000014,2.200000000000003,4,3.599999999999998,136,2.40448907178109,2.6320888862379572,4.166534083347373
0,2,3,3,2,little,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
0.42857142857142855,5,8,9,2,little,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
0.8571428571428571,10,12,18,2,little,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA
1.2857142857142856,16,18,24,2,little,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA
1.7142857142857142,22,23,34,2,little,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA
2.142857142857143,28,30,40,2,little,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA
2.571428571428571,35,35,48,2,little,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA
3,42,40,53,2,little,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA
0,4,4,4,1,index,16.3,52.7,39.3,29.2,0,0.4000000000000057,0,0,12,0.19951281005196767,0.20000000000000284,0
0.42857142857142855,12,12,18,1,index,17.6,52.3,41.3,29.4,1.3000000000000007,0,2,0.1999999999999993,42,1.3000000000000007,0.9781476007338057,1.19021130325903
0.8571428571428571,19,21,26,1,index,17.9,53.1,42.5,29.4,1.5999999999999979,0.8000000000000043,3.200000000000003,0.1999999999999993,66,1.9782074302397266,1.8937286823955262,1.7797588092598342
1.2857142857142856,28,25,40,1,index,18,53.7,43,31,1.6999999999999993,1.4000000000000057,3.700000000000003,1.8000000000000007,93,2.318063315001251,2.3766694060178066,3.2288799976141624
1.7142857142857142,36,35,46,1,index,18.4,54.5,44,31.5,2.099999999999998,2.200000000000003,4.700000000000003,2.3000000000000007,117,2.989918693812441,3.025007304079133,3.947714252055696
2.142857142857143,45,41,55,1,index,19,54.9,45.2,32.2,2.6999999999999993,2.6000000000000014,5.900000000000006,3.0000000000000036,141,3.6192388155425115,3.5263932616571805,4.670729309053144
2.571428571428571,53,47,63,1,index,19,56.9,45.5,32.6,2.6999999999999993,4.600000000000001,6.200000000000003,3.400000000000002,163,4.084174553249711,4.414194916193747,4.643567699114461
3,61,52,67,1,index,20,57.5,45.9,33.3,3.6999999999999993,5.200000000000003,6.600000000000001,4.099999999999998,180,4.960505012640477,4.631682868574674,4.901997626806022
0,5,5,2,2,index,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
0.42857142857142855,11,12,13,2,index,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA
0.8571428571428571,19,18,24,2,index,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA
1.2857142857142856,27,26,35,2,index,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA
1.7142857142857142,37,32,46,2,index,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA
2.142857142857143,44,40,54,2,index,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA
2.571428571428571,54,46,62,2,index,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA
3,61,53,69,2,index,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA
