time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.24,0.168,0,0,0.0687174,0.0995823,0.523428,-0.245661,0.443936,-1.47601,1.05959,-2.76243,1.61577,-5.08046,1.02191,-8.88684,1.26894,-11.9838,1.20882,-15.8532,-0.952443,-23.6827
0.25,0.175,0,0,0.101032,0.0671498,0.596312,-0.394742,0.500413,-1.84803,1.13298,-3.29609,1.67972,-5.83064,0.994482,-9.93061,1.19156,-13.2515,1.0434,-17.3729,-1.38429,-25.6353
0.26,0.182,0,0,0.126766,0.0436101,0.657502,-0.513028,0.545662,-2.15099,1.19489,-3.73834,1.73308,-6.46523,0.960225,-10.8261,1.10959,-14.3505,0.87597,-18.7029,-1.81082,-27.3577
0.27,0.189,0,0,0.138348,0.0393188,0.695247,-0.563899,0.572695,-2.3053,1.24157,-3.98242,1.77956,-6.84802,0.937559,-11.4017,1.05325,-15.0861,0.751383,-19.6269,-2.15815,-28.5992
0.28,0.196,0,0,0.134707,0.0559646,0.707769,-0.540639,0.581688,-2.29655,1.27441,-4.00817,1.82425,-6.95319,0.937062,-11.6259,1.0375,-15.4227,0.690311,-20.1059,-2.39505,-29.3169
0.29,0.203,0,0,0.121873,0.083966,0.70362,-0.471641,0.578903,-2.18329,1.29865,-3.89256,1.86925,-6.87817,0.953508,-11.6221,1.05143,-15.5003,0.674841,-20.2961,-2.55441,-29.6953
0.3,0.21,0,0,0.109239,0.111095,0.699359,-0.403745,0.575888,-2.07078,1.32261,-3.77716,1.9144,-6.80376,0.969548,-11.6192,1.06415,-15.579,0.656427,-20.488,-2.71999,-30.0736
0.31,0.217,0,0,0.10648,0.124963,0.712027,-0.384106,0.585022,-2.06518,1.35607,-3.80606,1.95976,-6.91544,0.965896,-11.8524,1.04079,-15.9276,0.579644,-20.9814,-2.98794,-30.801
0.32,0.224,0,0,0.120156,0.116896,0.751715,-0.443228,0.613269,-2.23191,1.40364,-4.0669,2.00292,-7.32446,0.927277,-12.4605,0.955516,-16.7029,0.404796,-21.9507,-3.42522,-32.0775
0.33,0.231,0,0,0.149236,0.0880465,0.816734,-0.577806,0.657764,-2.56353,1.46101,-4.54983,2.03759,-8.01757,0.845551,-13.4244,0.798253,-17.8818,0.120107,-23.3678,-4.0448,-33.8642
0.34,0.238,0,0,0.186411,0.0480903,0.89403,-0.752608,0.707476,-2.98183,1.5182,-5.14991,2.05873,-8.86063,0.726783,-14.5739,0.584009,-19.2705,-0.24747,-25.0154,-4.79483,-35.9061
