time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.007,0,0,-0.0191779,0.0333839,-0.0154867,0.0910551,-0.0189213,0.177266,0.00796813,0.193806,0.0395599,0.174801,0.0369579,0.0946027,0.0774895,0.00691304,0.119203,-0.13379,0.115521,-0.438138
0.02,0.014,0,0,-0.0278034,0.0505607,-0.0197646,0.13726,-0.0269396,0.266443,0.0234518,0.284488,0.0854208,0.234512,0.079715,0.0562933,0.16162,-0.132588,0.244126,-0.430669,0.230352,-1.06669
0.03,0.021,0,0,-0.0272874,0.0567039,-0.00394535,0.138465,-0.0141158,0.23291,0.0587837,0.218037,0.145572,0.10713,0.135121,-0.20682,0.249835,-0.512872,0.365974,-0.976096,0.335359,-1.94782
0.04,0.028,0,0,-0.029939,0.0683914,0.0119573,0.151348,-3.85E-04,0.207712,0.110711,0.141794,0.239407,-0.0741404,0.221018,-0.624746,0.376936,-1.12762,0.525129,-1.85099,0.45783,-3.32098
0.05,0.035,0,0,-0.0199162,0.0624883,0.0469082,0.107252,0.0320975,0.0537193,0.173477,-0.0882493,0.333045,-0.42183,0.302724,-1.21121,0.488994,-1.9045,0.659936,-2.87323,0.545109,-4.8073
0.06,0.042,0,0,-0.00495997,0.0491692,0.0871165,0.0420201,0.0689784,-0.141387,0.236422,-0.36485,0.422077,-0.816579,0.376622,-1.83846,0.588357,-2.71701,0.776197,-3.92419,0.603291,-6.30576
0.07,0.049,0,0,-0.00173919,0.0529997,0.112454,0.0279345,0.0913334,-0.229354,0.292873,-0.5182,0.512549,-1.08548,0.448465,-2.34882,0.687149,-3.42718,0.886839,-4.8942,0.638003,-7.75742
0.08,0.056,0,0,-0.00295057,0.0621963,0.127764,0.0356043,0.103535,-0.255675,0.333604,-0.585611,0.58209,-1.23542,0.50121,-2.67676,0.764383,-3.91094,0.975229,-5.58962,0.652944,-8.84982
0.09,0.063,0,0,-0.00934205,0.0771486,0.129264,0.0704414,0.101955,-0.199265,0.354196,-0.536711,0.627654,-1.22549,0.535372,-2.76589,0.825192,-4.10319,1.05171,-5.93892,0.666163,-9.50394
0.1,0.07,0,0,-0.0302552,0.112328,0.10925,0.170007,0.0796105,0.00357292,0.358108,-0.307453,0.661918,-1.00667,0.561723,-2.60641,0.882449,-4.02493,1.12714,-5.99851,0.680002,-9.83606
0.11,0.077,0,0,-0.0564425,0.153896,0.0781218,0.294373,0.0454831,0.272736,0.347717,0.0107838,0.681201,-0.672288,0.577312,-2.28589,0.931641,-3.75558,1.19846,-5.83653,0.697653,-9.89546
0.12,0.084,0,0,-0.0817046,0.193374,0.0457477,0.415391,0.00894639,0.542214,0.330889,0.335656,0.690897,-0.319066,0.585594,-1.9215,0.973815,-3.42353,1.26492,-5.59123,0.716468,-9.83598
0.13,0.091,0,0,-0.107274,0.233646,0.0149645,0.5359,-0.026563,0.802137,0.318458,0.64291,0.707658,0.00257529,0.598453,-1.61597,1.0195,-3.17054,1.33042,-5.44734,0.722844,-9.91216
0.14,0.098,0,0,-0.126945,0.266422,-0.00467857,0.628831,-0.0508217,0.9913,0.318906,0.857477,0.737298,0.20661,0.620146,-1.46893,1.07031,-3.10356,1.39396,-5.51768,0.711973,-10.2447
0.15,0.105,0,0,-0.136757,0.286181,-0.00740729,0.677263,-0.0572567,1.07351,0.336956,0.936201,0.782062,0.246082,0.65215,-1.52938,1.12564,-3.27106,1.45354,-5.84832,0.681244,-10.8745
0.16,0.112,0,0,-0.140666,0.298803,0.00196352,0.698539,-0.0505234,1.08346,0.371408,0.917921,0.844223,0.158124,0.69517,-1.76832,1.18625,-3.65271,1.50716,-6.42981,0.620656,-11.8091
0.17,0.119,0,0,-0.140979,0.307261,0.0188507,0.703272,-0.0356715,1.04911,0.415525,0.840341,0.915869,-0.00729448,0.742606,-2.11402,1.24623,-4.16183,1.5509,-7.15968,0.531435,-12.9206
0.18,0.126,0,0,-0.139861,0.31356,0.0373393,0.701994,-0.0193117,1.00369,0.459565,0.750749,0.985232,-0.183483,0.78645,-2.46495,1.30027,-4.67212,1.58528,-7.88562,0.427324,-14.0157
0.19,0.133,0,0,-0.1426,0.324506,0.0476529,0.719594,-0.0117261,1.0076,0.494215,0.72564,1.04547,-0.279133,0.823186,-2.70904,1.34859,-5.05908,1.61521,-8.4722,0.320426,-14.9436
0.2,0.14,0,0,-0.152076,0.344763,0.0448325,0.770933,-0.0182035,1.09384,0.513497,0.807969,1.09142,-0.240038,0.851069,-2.77455,1.39271,-5.23894,1.64691,-8.82376,0.22645,-15.5908
0.21,0.147,0,0,-0.166953,0.374357,0.0296556,0.852929,-0.0382559,1.25666,0.516272,0.992776,1.12095,-0.0676777,0.8699,-2.65572,1.43383,-5.19964,1.68494,-8.92124,0.157273,-15.9286
0.22,0.154,0,0,-0.188469,0.411866,0.00548862,0.958861,-0.068549,1.47568,0.507274,1.2515,1.13914,0.198919,0.88244,-2.40977,1.47309,-5.01109,1.72727,-8.84772,0.104208,-16.0606
0.23,0.161,0,0,-0.211791,0.451979,-0.0208902,1.07136,-0.101835,1.70794,0.495945,1.5261,1.15534,0.483336,0.893396,-2.14338,1.51107,-4.80074,1.76767,-8.75146,0.047527,-16.1664
0.24,0.168,0,0,-0.231312,0.487477,-0.0398905,1.16616,-0.127413,1.89541,0.494148,1.74115,1.17991,0.691524,0.908495,-1.97912,1.54877,-4.71009,1.80005,-8.79217,-0.0320407,-16.4323
0.25,0.175,0,0,-0.243201,0.513283,-0.0441347,1.22614,-0.136565,1.99565,0.511371,1.84134,1.22234,0.752936,0.932935,-2.01204,1.58714,-4.85137,1.81818,-9.09914,-0.154865,-17.012
0.26,0.182,0,0,-0.24525,0.525631,-0.0304966,1.24219,-0.125529,1.98982,0.55205,1.80247,1.28703,0.636291,0.968168,-2.28481,1.62471,-5.27565,1.81571,-9.73166,-0.33669,-17.9754
0.27,0.189,0,0,-0.238477,0.526848,-8.26E-05,1.21863,-0.0957158,1.88598,0.613292,1.63477,1.37063,0.354839,1.01022,-2.77781,1.65665,-5.9588,1.78714,-10.6602,-0.582838,-19.2838
0.28,0.196,0,0,-0.226299,0.521451,0.0406871,1.17079,-0.0547493,1.72148,0.686517,1.38669,1.46407,-0.0301893,1.0521,-3.40899,1.67821,-6.80491,1.7313,-11.775,-0.886785,-20.8061
0.29,0.203,0,0,-0.213394,0.515193,0.082551,1.11982,-0.013204,1.54999,0.759966,1.12908,1.55614,-0.428366,1.08786,-4.05713,1.68863,-7.67164,1.65572,-12.913,-1.2251,-22.3495
0.3,0.21,0,0,-0.204747,0.514229,0.116178,1.08798,0.0188792,1.42708,0.822708,0.935438,1.63756,-0.745787,1.1155,-4.59677,1.69287,-8.41157,1.5763,-13.9057,-1.56166,-23.7158
0.31,0.217,0,0,-0.204034,0.523218,0.134475,1.09247,0.0343012,1.3956,0.867638,0.862199,1.70341,-0.911108,1.13681,-4.93453,1.69924,-8.91625,1.51068,-14.6308,-1.86238,-24.7647
0.32,0.224,0,0,-0.212602,0.543848,0.135027,1.13932,0.0307375,1.47015,0.892545,0.928875,1.75289,-0.899421,1.1546,-5.03814,1.71412,-9.14822,1.47015,-15.0465,-2.10774,-25.4497
0.33,0.231,0,0,-0.228918,0.574099,0.120629,1.2214,0.0109954,1.63303,0.900453,1.11243,1.78877,-0.739524,1.1705,-4.94564,1.73828,-9.15177,1.45394,-15.2034,-2.30171,-25.8316
0.34,0.238,0,0,-0.249232,0.609278,0.0983594,1.32153,-0.0176592,1.84109,0.898996,1.35596,1.81715,-0.503664,1.18504,-4.75286,1.76702,-9.03909,1.44937,-15.2297,-2.47196,-26.0605
0.35,0.245,0,0,-0.268579,0.643251,0.0777352,1.41721,-0.0449734,2.03807,0.899038,1.58509,1.84662,-0.286377,1.19892,-4.58472,1.79326,-8.95606,1.43766,-15.2909,-2.65836,-26.3288
0.36,0.252,0,0,-0.282283,0.670237,0.067979,1.48733,-0.0605132,2.17124,0.911506,1.73018,1.88595,-0.17598,1.21331,-4.55714,1.81042,-9.03787,1.40043,-15.54,-2.8999,-26.812
0.37,0.259,0,0,-0.28725,0.686584,0.0750578,1.51849,-0.0572914,2.20738,0.943932,1.74706,1.94086,-0.228733,1.22847,-4.74377,1.81297,-9.37033,1.32343,-16.0732,-3.22546,-27.6191
0.38,0.266,0,0,-0.282843,0.691543,0.100387,1.50775,-0.0337014,2.139,0.997774,1.62565,2.01191,-0.457606,1.24247,-5.16121,1.79626,-9.97263,1.19821,-16.9115,-3.64932,-28.7713
0.39,0.273,0,0,-0.271491,0.688131,0.138931,1.4662,0.00426627,1.99447,1.06631,1.40338,2.09268,-0.814853,1.2518,-5.74548,1.7597,-10.7695,1.02884,-17.9682,-4.15777,-30.1661
0.4,0.28,0,0,-0.25862,0.682924,0.180187,1.41788,0.0446954,1.83382,1.13691,1.15953,2.17295,-1.19987,1.25483,-6.36423,1.71029,-11.6065,0.835541,-19.0684,-4.70701,-31.6015
0.41,0.287,0,0,-0.249149,0.68185,0.214815,1.3848,0.0774937,1.71148,1.19902,0.966564,2.24547,-1.52018,1.25373,-6.89643,1.65964,-12.3421,0.644409,-20.0525,-5.24673,-32.8959
0.42,0.294,0,0,-0.246905,0.689766,0.235443,1.38457,0.0951097,1.67116,1.24542,0.882304,2.30606,-1.70243,1.2532,-7.24648,1.62146,-12.8654,0.481507,-20.7964,-5.72954,-33.9098
0.43,0.301,0,0,-0.254575,0.709966,0.237109,1.4293,0.0925133,1.7423,1.27129,0.946001,2.35269,-1.69681,1.25798,-7.35023,1.60734,-13.1023,0.368374,-21.2179,-6.11794,-34.553
0.44,0.308,0,0,-0.270832,0.740745,0.222033,1.5131,0.0718885,1.91058,1.27896,1.13896,2.38731,-1.52675,1.26862,-7.2388,1.61663,-13.0889,0.302616,-21.3583,-6.41818,-34.8749
0.45,0.315,0,0,-0.291738,0.777029,0.198305,1.61701,0.0415092,2.12808,1.27675,1.3975,2.41526,-1.27352,1.28172,-7.01891,1.63735,-12.9499,0.259363,-21.3588,-6.6771,-35.0365
0.46,0.322,0,0,-0.311983,0.812533,0.175267,1.71817,0.0113482,2.33957,1.27455,1.64861,2.44285,-1.02931,1.29362,-6.81002,1.65576,-12.8237,0.210302,-21.3736,-6.94733,-35.2111
0.47,0.329,0,0,-0.327205,0.841911,0.161823,1.79687,-0.00855273,2.4954,1.28269,1.82609,2.4771,-0.878772,1.30159,-6.7227,1.65894,-12.8394,0.126951,-21.5478,-7.28297,-35.5612
0.48,0.336,0,0,-0.333007,0.859926,0.166597,1.83379,-0.00819669,2.54797,1.31152,1.86656,2.52487,-0.902588,1.30291,-6.86144,1.63394,-13.1183,-0.0189567,-22.0163,-7.73653,-36.2355
0.49,0.343,0,0,-0.328878,0.866042,0.190632,1.82674,0.013689,2.49212,1.3622,1.76292,2.58627,-1.1098,1.29561,-7.23717,1.57627,-13.6728,-0.235303,-22.7911,-8.32021,-37.2438
0.5,0.35,0,0,-0.31704,0.862892,0.229441,1.78554,0.0517572,2.35269,1.4288,1.54825,2.65628,-1.458,1.27835,-7.79352,1.4884,-14.4364,-0.513675,-23.7964,-9.01425,-38.4979
0.51,0.357,0,0,-0.302931,0.857082,0.272433,1.73425,0.093941,2.18906,1.49903,1.3011,2.72634,-1.84775,1.25338,-8.40165,1.3838,-15.26,-0.824048,-24.8653,-9.76095,-39.8111
0.52,0.364,0,0,-0.290691,0.853593,0.311466,1.69171,0.131315,2.0476,1.56365,1.08402,2.79113,-2.19836,1.22573,-8.95643,1.27841,-16.0202,-1.13378,-25.86,-10.5016,-41.0309
0.53,0.371,0,0,-0.286003,0.859294,0.336077,1.68285,0.152976,1.9892,1.61261,0.977227,2.84614,-2.40932,1.2043,-9.32973,1.19494,-16.5705,-1.4011,-26.6202,-11.1644,-41.9841
0.54,0.378,0,0,-0.29047,0.876162,0.342879,1.71546,0.155599,2.03338,1.64276,1.00782,2.89075,-2.44468,1.19535,-9.4744,1.1471,-16.8551,-1.60141,-27.0844,-11.7088,-42.606
0.55,0.385,0,0,-0.304048,0.904165,0.332495,1.78873,0.139822,2.17658,1.65534,1.17011,2.92651,-2.31353,1.19913,-9.40528,1.13398,-16.8935,-1.73807,-27.2771,-12.1433,-42.9276
0.56,0.392,0,0,-0.322559,0.938006,0.312389,1.88394,0.113233,2.37426,1.65696,1.40601,2.95635,-2.08767,1.21048,-9.21258,1.14221,-16.7882,-1.83542,-27.3104,-12.5095,-43.0715
0.57,0.399,0,0,-0.341436,0.97231,0.291558,1.98058,0.0854207,2.57491,1.65744,1.64585,2.98537,-1.8575,1.22115,-9.01509,1.14948,-16.6785,-1.93681,-27.3392,-12.8832,-43.2069
0.58,0.406,0,0,-0.354855,1.00008,0.280819,2.05328,0.068384,2.71772,1.66819,1.80925,3.01931,-1.7237,1.22406,-8.93992,1.13485,-16.7097,-2.08252,-27.5214,-13.3332,-43.5019
0.59,0.413,0,0,-0.359211,1.01698,0.287557,2.08598,0.0706633,2.76279,1.69779,1.84255,3.06283,-1.75509,1.21374,-9.0756,1.08163,-16.9844,-2.30567,-27.9685,-13.9164,-44.0744
0.6,0.42,0,0,-0.353686,1.02218,0.313397,2.07521,0.094158,2.70162,1.74821,1.73384,3.11643,-1.96748,1.18716,-9.44254,0.982606,-17.5263,-2.61938,-28.7053,-14.6534,-44.9472
0.61,0.427,0,0,-0.339391,1.01681,0.355711,2.02586,0.135528,2.54802,1.81514,1.5027,3.17631,-2.33359,1.14452,-10.0018,0.842326,-18.2875,-3.01165,-29.6757,-15.519,-46.0554
0.62,0.434,0,0,-0.321719,1.0075,0.404567,1.9614,0.183495,2.35718,1.88808,1.22099,3.23672,-2.76524,1.08949,-10.6445,0.674501,-19.1452,-3.45517,-30.7467,-16.4655,-47.2569
