,x,y,z,joint,pressure,th_values,d_values
3124,-16.367971016595956,0,63.853639066987625,4,3.24,0.35629151350212246,0.0
3125,-16.41652049476657,0,63.84276689761977,4,3.25,0.35722526465193943,0.0
3126,-16.46505950194032,0,63.83184418360315,4,3.2600000000000002,0.35815901580175635,0.0
3127,-16.513587985519003,0,63.820870932299464,4,3.27,0.35909276695157333,0.0
3128,-16.562105892908555,0,63.80984715112507,4,3.2800000000000002,0.3600265181013903,0.0
3129,-16.610613171519102,0,63.79877284755109,4,3.29,0.3609602692512073,0.0
3130,-16.65910976876503,0,63.78764802910331,4,3.3000000000000003,0.3618940204010242,0.0
3131,-16.707595632065043,0,63.776472703362245,4,3.31,0.36282777155084117,0.0
3132,-16.75607070884221,0,63.765246877963115,4,3.3200000000000003,0.36376152270065815,0.0
3133,-16.804534946524015,0,63.75397056059587,4,3.33,0.3646952738504751,0.0
3134,-16.852988292542438,0,63.74264375900513,4,3.34,0.36562902500029204,0.0
3135,-16.901430694334003,0,63.73126648099023,4,3.35,0.366562776150109,0.0
3136,-16.949862099339814,0,63.719838734405215,4,3.36,0.367496527299926,0.0
3137,-16.998282455005633,0,63.70836052715883,4,3.37,0.36843027844974297,0.0
3138,-17.046691708781946,0,63.696831867214534,4,3.38,0.3693640295995599,0.0
3139,-17.095089808123987,0,63.685252762590466,4,3.39,0.37029778074937686,0.0
3140,-17.143476700491824,0,63.67362322135946,4,3.4,0.37123153189919383,0.0
3141,-17.19185233335042,0,63.66194325164908,4,3.41,0.3721652830490109,0.0
3142,-17.24021665416964,0,63.65021286164152,4,3.42,0.37309903419882773,0.0
3143,-17.28856961042438,0,63.63843205957376,4,3.43,0.3740327853486448,0.0
3144,-17.336911149594563,0,63.626600853737386,4,3.44,0.3749665364984618,0.0
3145,-17.38524121916524,0,63.614719252478714,4,3.45,0.37590028764827876,0.0
3146,-17.43355976662661,0,63.602787264198746,4,3.46,0.37683403879809574,0.0
3147,-17.481866739474114,0,63.59080489735317,4,3.47,0.37776778994791266,0.0
3148,-17.53016208520845,0,63.57877216045235,4,3.48,0.37870154109772963,0.0
3149,-17.57844575133567,0,63.56668906206134,4,3.49,0.3796352922475466,0.0
3150,-17.626717685367215,0,63.554555610799866,4,3.5,0.3805690433973635,0.0
3151,-17.674977834819966,0,63.54237181534235,4,3.5100000000000002,0.3815027945471805,0.0
3152,-17.72322614721633,0,63.53013768441787,4,3.52,0.3824365456969975,0.0
3153,-17.771462570084267,0,63.517853226810175,4,3.5300000000000002,0.38337029684681445,0.0
3154,-17.819687050957352,0,63.50551845135771,4,3.54,0.38430404799663137,0.0
3155,-17.86789953737485,0,63.49313336695357,4,3.5500000000000003,0.38523779914644835,0.0
3156,-17.916099976881753,0,63.48069798254552,4,3.56,0.3861715502962653,0.0
3157,-17.964288317028853,0,63.468212307135985,4,3.5700000000000003,0.3871053014460823,0.0
3158,-18.012464505372783,0,63.45567634978207,4,3.58,0.3880390525958992,0.0
3159,-18.060628489476084,0,63.44309011959551,4,3.59,0.3889728037457162,0.0
3160,-18.108780216907263,0,63.430453625742736,4,3.6,0.38990655489553316,0.0
3161,-18.15691963524084,0,63.41776687744479,4,3.61,0.39084030604535014,0.0
3162,-18.205046692057422,0,63.40502988397739,4,3.62,0.3917740571951672,0.0
3163,-18.253161334943737,0,63.392242654670895,4,3.63,0.39270780834498403,0.0
3164,-18.30126351149271,0,63.37940519891032,4,3.64,0.3936415594948011,0.0
3165,-18.34935316930352,0,63.36651752613531,4,3.65,0.3945753106446181,0.0
3166,-18.397430255981636,0,63.35357964584014,4,3.66,0.39550906179443507,0.0
3167,-18.4454947191389,0,63.34059156757375,4,3.67,0.396442812944252,0.0
3168,-18.493546506393567,0,63.32755330093969,4,3.68,0.39737656409406896,0.0
3169,-18.54158556537037,0,63.31446485559616,4,3.69,0.39831031524388594,0.0
3170,-18.58961184370057,0,63.30132624125595,4,3.7,0.39924406639370286,0.0
3171,-18.637625289022015,0,63.28813746768651,4,3.71,0.40017781754351983,0.0
3172,-18.685625848979214,0,63.2748985447099,4,3.72,0.4011115686933368,0.0
3173,-18.73361347122336,0,63.261609482202786,4,3.73,0.4020453198431538,0.0
3174,-18.78158810341242,0,63.24827029009647,4,3.74,0.4029790709929707,0.0
3175,-18.82954969321117,0,63.23488097837684,4,3.75,0.4039128221427877,0.0
3176,-18.877498188291263,0,63.221441557084404,4,3.7600000000000002,0.40484657329260465,0.0
3177,-18.925433536331283,0,63.20795203631425,4,3.77,0.4057803244424216,0.0
3178,-18.973355685016802,0,63.19441242621613,4,3.7800000000000002,0.40671407559223854,0.0
3179,-19.02126458204043,0,63.18082273699429,4,3.79,0.4076478267420555,0.0
3180,-19.069160175101885,0,63.16718297890765,4,3.8000000000000003,0.4085815778918726,0.0
3181,-19.11704241190804,0,63.153493162269676,4,3.81,0.40951532904168947,0.0
3182,-19.164911240173,0,63.13975329744843,4,3.8200000000000003,0.41044908019150655,0.0
3183,-19.212766607618114,0,63.125963394866545,4,3.83,0.41138283134132336,0.0
3184,-19.26060846197208,0,63.112123465001275,4,3.84,0.41231658249114034,0.0
3185,-19.308436750970973,0,63.098233518384376,4,3.85,0.4132503336409574,0.0
3186,-19.356251422358323,0,63.084293565602195,4,3.86,0.41418408479077423,0.0
3187,-19.40405242388515,0,63.07030361729568,4,3.87,0.4151178359405913,0.0
3188,-19.451839703310032,0,63.05626368416027,4,3.88,0.4160515870904083,0.0
3189,-19.499613208399158,0,63.042173776946015,4,3.89,0.41698533824022527,0.0
3190,-19.547372886926397,0,63.028033906457495,4,3.9,0.41791908939004224,0.0
3191,-19.595118686673345,0,63.01384408355382,4,3.91,0.41885284053985916,0.0
3192,-19.64285055542937,0,62.99960431914867,4,3.92,0.41978659168967614,0.0
3193,-19.690568440991704,0,62.98531462421024,4,3.93,0.4207203428394931,0.0
3194,-19.73827229116545,0,62.97097500976126,4,3.94,0.42165409398931003,0.0
3195,-19.7859620537637,0,62.95658548687899,4,3.95,0.422587845139127,0.0
3196,-19.833637676607523,0,62.942146066695216,4,3.96,0.423521596288944,0.0
3197,-19.881299107526086,0,62.92765676039622,4,3.97,0.42445534743876095,0.0
3198,-19.92894629435666,0,62.91311757922281,4,3.98,0.4253890985885779,0.0
3199,-19.97657918494472,0,62.89852853447033,4,3.99,0.42632284973839485,0.0
