time,pressure,mcp_u1,mcp_u2,pip_u1,pip_u2,dip_u1,dip_u2,tip_u1,tip_u2
0.59,0.177,0.463201,-0.0170586,2.34324,-10.1763,-6.58454,-40.3783,-34.2156,-70.1962
0.6,0.18,0.498076,-0.0570937,2.32929,-10.7305,-7.17343,-41.5267,-35.7277,-71.3511
0.61,0.183,0.547397,-0.119286,2.28808,-11.5184,-7.96717,-43.0401,-37.6041,-72.8299
0.62,0.186,0.609263,-0.20151,2.21272,-12.516,-8.9696,-44.8712,-39.8359,-74.5692
0.63,0.189,0.679062,-0.297516,2.10082,-13.6589,-10.158,-46.9145,-42.3679,-76.4507
0.64,0.192,0.752874,-0.402602,1.95266,-14.8789,-11.4693,-49.0368,-45.061,-78.3403
0.65,0.195,0.826405,-0.509643,1.77766,-16.0958,-12.8293,-51.1065,-47.7771,-80.116
0.66,0.198,0.893308,-0.608211,1.59523,-17.2128,-14.1506,-52.9882,-50.3756,-81.6609
0.67,0.201,0.949888,-0.691652,1.42327,-18.1695,-15.3523,-54.5956,-52.7298,-82.9147
0.68,0.204,0.995782,-0.757458,1.28089,-18.9267,-16.3621,-55.8755,-54.7304,-83.8528
0.69,0.207,1.02875,-0.802559,1.17883,-19.4659,-17.1395,-56.811,-56.322,-84.4829
0.7,0.21,1.04977,-0.827132,1.12366,-19.7947,-17.6883,-57.4299,-57.5326,-84.8392
0.71,0.213,1.06069,-0.834144,1.10888,-19.951,-18.0483,-57.7962,-58.4312,-84.9832
0.72,0.216,1.06604,-0.831234,1.12077,-20.0013,-18.2816,-58.0044,-59.1235,-84.9966
0.73,0.219,1.06931,-0.825053,1.14101,-20.0151,-18.4657,-58.1539,-59.7265,-84.9622
0.74,0.222,1.07641,-0.825526,1.14497,-20.0947,-18.7284,-58.396,-60.4511,-84.9893
0.75,0.225,1.09103,-0.839149,1.1147,-20.3084,-19.1537,-58.8269,-61.4251,-85.1461
0.76,0.228,1.11689,-0.873071,1.03249,-20.7167,-19.8067,-59.5221,-62.7407,-85.4841
0.77,0.231,1.15691,-0.932618,0.880015,-21.3701,-20.7551,-60.542,-64.4887,-86.0363
0.78,0.234,1.21013,-1.01749,0.648432,-22.2661,-22.0263,-61.8764,-66.7005,-86.7708
0.79,0.237,1.27557,-1.12691,0.331804,-23.3836,-23.6096,-63.4765,-69.3372,-87.634
0.8,0.24,1.34958,-1.25602,-0.0672474,-24.6685,-25.4539,-65.2508,-72.2963,-88.5488
0.81,0.243,1.42786,-1.39695,-0.528752,-26.0336,-27.4684,-67.0752,-75.4369,-89.4148
0.82,0.246,1.50364,-1.53842,-1.02966,-27.3938,-29.5484,-68.8369,-78.5979,-90.1615
0.83,0.249,1.57602,-1.67487,-1.53631,-28.6779,-31.5839,-70.4495,-81.6333,-90.7412
