time,pressure,joint,resample_u1_start,resample_u1_mid,resample_u1_end,resample_u2_start,resample_u2_mid,resample_u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.007,MCP,0,15.392079329226304,30.001831504621236,0,0.018510800093374677,0.042068361970733666,0,15.4,30,30,30.001861846634093,36602.34704252607,-36.32258898359493,36602.32902003705,8.196704383950224e-4,3.1406002965995987,3.1397806261614267,0.001861846634092501,-0.048534414158411456
0.02,0.014,MCP,0,15.39056130225196,30.015641670982262,0,0.027285787894924963,0.05107386190062707,0,15.4,30,30,30.015685203340176,102537.4091911498,189.482646212813,-102537.23411502807,2.927291165255118e-4,-0.0018479377970517397,6.281630098499331,0.0156852033401762,0.01989040861183455
0.03,0.021,MCP,0,15.38800032500887,30.027492923873968,0,0.03746104870609158,0.06501506241909046,0,15.4,30,30,30.027564834845776,27186.07824220524,73.8764748873508,-27185.97786465963,0.0011045199152053219,-0.0027174410796787242,6.2815723860151165,0.02756483484577643,0.07003255431526677
0.04,0.028,MCP,0,15.384343813833892,30.0372884075552,0,0.04909999456351393,0.0841284879118271,0,15.4,30,30,30.037409432955965,18749.78534860154,67.53285173590893,-18749.663728519758,0.0016020135097277962,-0.003601801113852452,6.281185519575463,0.03740943295596466,0.1009692759311269
0.05,0.035,MCP,0,15.379792644018227,30.045394077518324,0,0.06196128185466772,0.10751902562369874,0,15.4,30,30,30.045590718599076,16288.421705836041,73.31127424237987,-16288.256724530702,0.0018445980378709085,-0.004500836427524237,6.280529068789884,0.04559071859907604,0.1161539279674422
0.06,0.042,MCP,0,15.374465101008244,30.052026579487173,0,0.0759015715320056,0.1346557534639841,0,15.4,30,30,30.052332626130084,16090.60499685169,87.12330892060079,-16090.369128573506,0.0018676943863832444,-0.005414571711047063,6.279638429854891,0.05233262613008449,0.1176311329339054
0.07,0.049,MCP,0,15.368479470250296,30.057402559185558,0,0.09077752454798019,0.16500774934196183,0,15.4,30,30,30.057859126272444,17614.252854452825,111.72512606827496,-17613.89852124749,0.0017064509845885355,-0.0063429244579409185,6.278548833706374,0.05785912627244372,0.10744629489936608
0.08,0.056,MCP,0,15.361676543013251,30.06123265406349,0,0.10676593915796138,0.1992625023347096,0,15.4,30,30,30.06189522760269,22855.653401886335,166.52718694278684,-22855.04673202764,0.0013152936255640632,-0.00728610368021595,6.277214497124816,0.061895227602690284,0.0828665400662359
0.09,0.063,MCP,0,15.353966091538691,30.063351919192694,0,0.12397392695676271,0.2378213018727429,0,15.4,30,30,30.06429312523908,44926.72013328174,370.42106185234843,-44925.19304545234,6.691851316109638e-4,-0.00824509908045273,6.275609393230818,0.06429312523907882,0.04232531766599444
0.1,0.07,MCP,0,15.345569872732057,30.064163626729545,0,0.14215361890600223,0.27972392639549715,0,15.4,30,30,30.06546494550761,180683.93649942242,-1666.020253026732,180676.25545556287,1.663981067049849e-4,3.132371890008178,3.1322054919014963,0.0654649455076104,-0.010380535309594182
