time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.007,0,0,-0.0190718,0.0332178,-0.0153859,0.0906125,-0.0188149,0.176427,0.00796609,0.192936,0.039408,0.173945,0.0368135,0.094077,0.0771075,0.00686004,0.11862,-0.133244,0.114967,-0.436101
0.02,0.014,0,0,-0.0275119,0.0501019,-0.0194752,0.13602,-0.0266439,0.264094,0.0234243,0.282054,0.0849583,0.232264,0.0792688,0.0551976,0.160613,-0.132304,0.242695,-0.428635,0.229074,-1.06071
0.03,0.021,0,0,-0.027006,0.056237,-0.00371216,0.137256,-0.0138714,0.230739,0.0587001,0.215887,0.145033,0.105157,0.134618,-0.207575,0.248645,-0.512031,0.36424,-0.973247,0.333904,-1.94023
0.04,0.028,0,0,-0.0295293,0.0677158,0.0123045,0.14957,-2.27E-05,2.04E-01,0.11058,0.138577,0.238606,-0.0770699,0.220294,-0.625875,0.375294,-1.12642,0.522821,-1.84689,0.45611,-3.31021
0.05,0.035,0,0,-0.0192834,0.0614538,0.0474719,0.10447,0.032666,0.0485754,0.173323,-0.0935151,0.331961,-0.426713,0.301771,-1.21367,0.486905,-1.90385,0.6571,-2.86867,0.543279,-4.79403
0.06,0.042,0,0,-0.00423112,0.0479753,0.0878155,0.0387236,0.0696745,-0.147712,0.236391,-0.371567,0.421076,-0.823299,0.37576,-1.8433,0.586234,-2.71885,0.773238,-3.92216,0.601607,-6.2948
0.07,0.049,0,0,-0.000744497,0.0514179,0.113549,0.0233754,0.0924093,-0.238586,0.293138,-0.528473,0.511691,-1.09642,0.447717,-2.35871,0.684935,-3.43428,0.883668,-4.89751,0.636398,-7.75164
0.08,0.056,0,0,-0.00147395,0.0599194,0.129551,0.0288447,0.105266,-0.269838,0.334348,-0.601876,0.581461,-1.2533,0.5006,-2.69475,0.762034,-3.92652,0.971745,-5.60161,0.651247,-8.85274
0.09,0.063,0,0,-0.00740298,0.0742437,0.131874,0.0614954,0.104493,-0.218828,0.355779,-0.559912,0.627766,-1.25204,0.535255,-2.79526,0.822991,-4.13162,1.048,-5.96514,0.663999,-9.52303
0.1,0.07,0,0,-0.0276429,0.108533,0.113062,0.157971,0.0833834,-0.0235912,0.36097,-0.340413,0.663175,-1.04536,0.562388,-2.65162,0.880583,-4.07137,1.12323,-6.04478,0.677068,-9.87824
0.11,0.077,0,0,-0.0528711,0.148835,0.0836135,0.278017,0.0510375,0.235111,0.352368,-0.0354958,0.684025,-0.727286,0.579095,-2.35194,0.9303,-3.8255,1.19439,-5.90873,0.693733,-9.96715
0.12,0.084,0,0,-0.0771477,0.187105,0.0531627,0.394525,0.0166205,0.493118,0.337858,0.274466,0.695946,-0.392796,0.589023,-2.01232,0.973443,-3.52195,1.26089,-5.69554,0.711205,-9.9452
0.13,0.091,0,0,-0.101759,0.226221,0.0243812,0.5104,-0.0165969,0.741194,0.328069,0.566132,0.71535,-0.0910817,0.603824,-1.73371,1.02029,-3.3003,1.32642,-5.58732,0.71576,-10.0636
0.14,0.098,0,0,-0.120427,0.257542,0.00657283,0.598412,-0.0387256,0.918809,0.330886,0.765772,0.747364,0.0940598,0.627161,-1.61192,1.07194,-3.26259,1.38961,-5.69083,0.702667,-10.4351
0.15,0.105,0,0,-0.129166,0.27581,0.005197,0.642537,-0.0436218,0.991751,0.350461,0.832861,0.793557,0.11915,0.659949,-1.69101,1.12736,-3.45143,1.44828,-6.04538,0.669533,-11.0925
0.16,0.112,0,0,-0.132403,0.287362,0.0154311,0.660867,-0.0359686,0.995518,0.38546,0.807129,0.85576,0.022707,0.702581,-1.9394,1.18711,-3.84303,1.50045,-6.63718,0.606908,-12.0377
0.17,0.119,0,0,-0.13238,0.29519,0.0326251,0.663998,-0.0208616,0.958314,0.429369,0.726352,0.926333,-0.145496,0.748784,-2.28609,1.24564,-4.35174,1.54261,-7.36504,0.516523,-13.1444
0.18,0.126,0,0,-0.13129,0.301199,0.0510955,0.66204,-0.00460305,0.912096,0.472836,0.636281,0.994268,-0.321076,0.791233,-2.6336,1.29817,-4.8565,1.57565,-8.08309,0.412088,-14.2278
0.19,0.133,0,0,-0.133972,0.312085,0.0614194,0.67947,0.00298372,0.915653,0.507179,0.610853,1.0537,-0.416596,0.827088,-2.87614,1.34535,-5.24056,1.60425,-8.66483,0.30491,-15.1473
0.2,0.14,0,0,-0.143038,0.331555,0.0590184,0.728728,-0.00293196,0.998277,0.52688,0.688737,1.09975,-0.382696,0.85479,-2.94751,1.38867,-5.42621,1.63457,-9.0212,0.210195,-15.7974
0.21,0.147,0,0,-0.156938,0.359387,0.0452292,0.806424,-0.0212892,1.15196,0.531211,0.862053,1.13049,-0.224102,0.874234,-2.84553,1.4293,-5.405,1.67108,-9.13684,0.139592,-16.1527
0.22,0.154,0,0,-0.176915,0.394859,0.0234154,0.906231,-0.0487244,1.35683,0.525138,1.10256,1.15112,0.0201237,0.888226,-2.62789,1.46873,-5.24819,1.71177,-9.09735,0.0833607,-16.3217
0.23,0.161,0,0,-0.198247,0.432353,0.000491784,1.01033,-0.0778524,1.56895,0.517885,1.35143,1.17075,0.273222,0.901257,-2.40092,1.50741,-5.08269,1.75049,-9.05075,0.0214158,-16.4842
0.24,0.168,0,0,-0.215335,0.464623,-0.0141976,1.09455,-0.0983169,1.73117,0.521,1.53427,1.1996,0.442121,0.918763,-2.28647,1.54553,-5.04884,1.78034,-9.15478,-0.0658014,-16.8229
0.25,0.175,0,0,-0.224911,0.487708,-0.0137707,1.14409,-0.102064,1.80466,0.543714,1.59941,1.24668,0.459675,0.945248,-2.37632,1.58329,-5.25577,1.79386,-9.53539,-0.199897,-17.4876
0.26,0.182,0,0,-0.224854,0.498082,0.00461438,1.15022,-0.0857803,1.77158,0.589389,1.52426,1.3151,0.297536,0.981097,-2.70788,1.61832,-5.74764,1.78428,-10.2432,-0.395964,-18.5371
0.27,0.189,0,0,-0.215544,0.496144,3.94E-02,1.1154,-0.0515532,1.64028,0.654785,1.32083,1.4008,-0.0276514,1.02187,-3.25592,1.64557,-6.49297,1.74659,-11.2396,-0.65746,-19.921
0.28,0.196,0,0,-0.201238,0.487886,0.0838344,1.05751,-0.00732127,1.45165,0.730664,1.04138,1.49488,-0.451152,1.06077,-3.93549,1.66053,-7.39355,1.6798,-12.4135,-0.978388,-21.5084
0.29,0.203,0,0,-0.186545,0.4793,0.128756,0.998116,0.0366977,1.25949,0.80597,0.756527,1.5869,-0.88328,1.09259,-4.62701,1.66327,-8.30964,1.59199,-13.6055,-1.33551,-23.1117
0.3,0.21,0,0,-0.175948,0.475697,0.165661,0.957101,0.0715628,1.11469,0.87076,0.534285,1.66837,-1.23598,1.11634,-5.21111,1.65984,-9.09993,1.50014,-14.6529,-1.69112,-24.5382
0.31,0.217,0,0,-0.173017,0.481699,0.18803,0.951006,0.0909368,1.05765,0.919029,0.427659,1.73549,-1.44252,1.13471,-5.60093,1.65905,-9.66355,1.42212,-15.4423,-2.01214,-25.6583
