time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.24,0.168,0,0,-0.213255,0.456153,-0.0187714,1.08353,-0.102802,1.73238,0.505117,1.55212,1.17168,0.495589,0.902667,-2.16156,1.52947,-4.85782,1.78097,-8.87773,0.00238509,-16.4102
0.25,0.175,0,0,-0.221126,0.476561,-0.0158169,1.12521,-0.103695,1.78883,0.529488,1.59649,1.22009,0.48971,0.930343,-2.27863,1.5673,-5.09254,1.7951,-9.28469,-0.127009,-17.0995
0.26,0.182,0,0,-0.219016,0.484818,0.00671646,1.12187,-0.0827143,1.73074,0.579235,1.48896,1.29138,0.289107,0.968244,-2.65729,1.60255,-5.6352,1.78535,-10.0448,-0.320677,-18.204
0.27,0.189,0,0,-0.208341,0.48241,0.0457619,1.07935,-0.0437606,1.57506,0.648954,1.25296,1.38037,-0.0763384,1.01095,-3.25703,1.62971,-6.43837,1.74623,-11.1028,-0.582584,-19.6558
0.28,0.196,0,0,-0.192224,0.472072,0.0934485,1.01323,0.00389699,1.36528,0.727977,0.946053,1.47625,-0.532665,1.05075,-3.97744,1.64424,-7.38394,1.67848,-12.3233,-0.901609,-21.2932
0.29,0.203,0,0,-0.176121,0.461413,0.140444,0.947178,0.0498879,1.15798,0.804082,0.642732,1.56784,-0.984687,1.08247,-4.69023,1.64705,-8.32076,1.59216,-13.5328,-1.25013,-22.911
0.3,0.21,0,0,-0.165345,0.457449,0.177597,0.9048,0.0848282,1.00991,0.868098,0.416942,1.64777,-1.33954,1.10588,-5.27396,1.64415,-9.10745,1.50424,-14.5722,-1.59384,-24.3253
0.31,0.217,0,0,-0.162673,0.463716,0.199121,0.899966,0.103261,0.956505,0.914896,0.315419,1.71313,-1.53801,1.12414,-5.65121,1.64449,-9.65394,1.43138,-15.3387,-1.90043,-25.4166
0.32,0.224,0,0,-0.168551,0.48049,0.20467,0.933893,0.10517,1.00048,0.94418,0.342723,1.76442,-1.57297,1.14052,-5.81101,1.65401,-9.94626,1.38317,-15.8156,-2.15341,-26.165
0.33,0.231,0,0,-0.180513,0.505156,0.198179,0.996719,0.0945837,1.1172,0.960612,0.466272,1.80579,-1.48618,1.15658,-5.80972,1.67204,-10.0509,1.35519,-16.0794,-2.3646,-26.6624
0.34,0.238,0,0,-0.194852,0.532737,0.187499,1.0699,0.0794756,1.25913,0.972563,0.622966,1.84381,-1.3581,1.17224,-5.75461,1.69231,-10.094,1.33149,-16.2748,-2.56788,-27.0787
0.35,0.245,0,0,-0.206152,0.5567,0.182132,1.12981,0.0697691,1.36854,0.990234,0.736997,1.88603,-1.28431,1.18697,-5.77075,1.70649,-10.2211,1.2921,-16.5665,-2.8047,-27.6051
0.36,0.252,0,0,-0.210168,0.571562,0.190307,1.15687,0.0742911,1.39688,1.02258,0.744253,1.93906,-1.34612,1.19979,-5.96472,1.7059,-10.5564,1.21698,-17.0947,-3.11441,-28.4015
0.37,0.259,0,0,-0.205054,0.575019,0.216209,1.14184,0.0974418,1.32019,1.07404,0.612531,2.00555,-1.58486,1.20826,-6.39079,1.68318,-11.1632,1.09113,-17.9305,-3.52482,-29.5482
0.38,0.266,0,0,-0.191086,0.567645,0.258646,1.08691,0.137495,1.14462,1.14243,0.349898,2.08239,-1.99006,1.20858,-7.03391,1.63333,-12.023,0.909359,-19.0512,-4.04069,-31.0153
0.39,0.273,0,0,-0.171649,0.553285,0.311368,1.0063,0.187255,0.906058,1.2197,0.00379766,2.16251,-2.50124,1.19788,-7.81357,1.55792,-13.0415,0.679392,-20.3486,-4.64136,-32.6753
0.4,0.28,0,0,-0.151447,0.538038,0.364978,0.92238,0.236793,0.660227,1.29573,-0.35228,2.23864,-3.02549,1.1773,-8.60832,1.46615,-14.0771,0.422977,-21.6628,-5.28303,-34.3438
0.41,0.287,0,0,-0.135362,0.52785,0.410446,0.857379,0.277394,0.462515,1.36206,-0.644629,2.30607,-3.46878,1.15303,-9.29464,1.37481,-14.9858,0.172046,-22.8314,-5.90784,-35.8361
0.42,0.294,0,0,-0.126864,0.527383,0.441566,0.827813,0.303714,0.352894,1.41423,-0.820281,2.3639,-3.76397,1.13327,-9.78564,1.30094,-15.6668,-0.0440061,-23.7419,-6.46598,-37.0265
0.43,0.301,0,0,-0.127183,0.538072,0.456551,0.838873,0.314638,0.343584,1.45163,-0.863038,2.41373,-3.89109,1.12347,-10.0569,1.25371,-16.0927,-0.211036,-24.3648,-6.93578,-37.8852
0.44,0.308,0,0,-0.134404,0.557474,0.458788,0.881925,0.313524,0.413456,1.47767,-0.800584,2.45799,-3.88472,1.12341,-10.1534,1.23044,-16.3157,-0.335316,-24.76,-7.33075,-38.4818
0.45,0.315,0,0,-0.144517,0.580572,0.455531,0.938566,0.307133,0.517124,1.49883,-0.693093,2.49976,-3.82112,1.12755,-10.1747,1.21732,-16.4512,-0.442591,-25.0567,-7.69637,-38.9631
0.46,0.322,0,0,-0.152454,0.601074,0.456049,0.985697,0.304261,0.597453,1.52321,-0.616368,2.54268,-3.79655,1.12766,-10.2459,1.19451,-16.6449,-0.569553,-25.4183,-8.09758,-39.5129
0.47,0.329,0,0,-0.153916,0.613469,0.468662,1.00281,0.312946,0.603979,1.55821,-0.63737,2.58978,-3.8958,1.11585,-10.4765,1.14326,-17.0234,-0.750765,-25.986,-8.59485,-40.288
0.48,0.336,0,0,-0.145645,0.613664,0.499129,0.975145,0.338591,0.501142,1.60891,-0.803772,2.64232,-4.1799,1.08426,-10.9455,1.04643,-17.6786,-1.01687,-26.861,-9.23874,-41.3983
0.49,0.343,0,0,-0.127982,0.602081,0.546317,0.904532,0.379492,0.294411,1.67257,-1.10767,2.69718,-4.63747,1.03005,-11.6355,0.901361,-18.5886,-1.36927,-28.0161,-10.0273,-42.8086
0.5,0.35,0,0,-0.104054,0.58253,0.604506,0.804674,0.429435,0.0172957,1.7431,-1.50517,2.74987,-5.21344,0.953973,-12.4753,0.713939,-19.6709,-1.79462,-29.358,-10.9332,-44.412
0.51,0.357,0,0,-0.0784061,0.56078,0.66524,0.696632,0.480158,-0.278763,1.81272,-1.92802,2.79702,-5.8214,0.863287,-13.3533,0.501899,-20.7959,-2.25955,-30.7424,-11.8979,-46.0478
0.52,0.364,0,0,-0.0557962,0.542931,0.720029,0.602646,0.524316,-0.539688,1.87523,-2.30418,2.8379,-6.36959,0.771092,-14.1508,0.29205,-21.8263,-2.71827,-32.0168,-12.8452,-47.5484
0.53,0.371,0,0,-0.0399203,0.533798,0.762353,0.540574,0.557115,-0.722211,1.9274,-2.57597,2.87501,-6.78531,0.691869,-14.7757,0.110661,-22.6563,-3.12838,-33.066,-13.7084,-48.7909
0.54,0.378,0,0,-0.0330908,0.536129,0.789082,0.520128,0.576832,-0.803851,1.96901,-2.7138,2.91158,-7.03165,0.635998,-15.1821,-0.024746,-23.2343,-3.46315,-33.8353,-14.4478,-49.7197
0.55,0.385,0,0,-0.0327278,0.546606,0.80453,0.529763,0.587402,-0.811958,2.00333,-2.75342,2.94877,-7.1533,0.599681,-15.4272,-0.122891,-23.6258,-3.73817,-34.3974,-15.0899,-50.4164
0.56,0.392,0,0,-0.0351298,0.560685,0.815001,0.552836,0.593998,-0.787417,2.03479,-2.74963,2.98662,-7.22041,0.571569,-15.6024,-0.206158,-23.9375,-3.99144,-34.8709,-15.698,-51.0109
0.57,0.399,0,0,-0.0362995,0.573029,0.827624,0.569941,0.602316,-0.776735,2.06746,-2.764,3.02353,-7.31013,0.538537,-15.805,-0.29927,-24.28,-4.26285,-35.3752,-16.3335,-51.6303
0.58,0.406,0,0,-0.0304092,0.576491,0.852248,0.554459,0.620156,-0.843924,2.10688,-2.88172,3.05683,-7.52998,0.480153,-16.1711,-0.440565,-24.8092,-4.61515,-36.0794,-17.0948,-52.4533
0.59,0.413,0,0,-0.0147621,0.56753,0.893654,0.493214,0.650891,-1.02084,2.155,-3.14565,3.08368,-7.93472,0.38266,-16.7705,-0.654976,-25.6051,-5.08836,-37.069,-18.0434,-53.5674
0.6,0.42,0,0,0.0110243,0.545381,0.951871,0.383983,0.693459,-1.31086,2.20948,-3.55936,3.10003,-8.52659,0.241207,-17.602,-0.948159,-26.6634,-5.68762,-38.3349,-19.1808,-54.9569
0.61,0.427,0,0,0.0430591,0.515076,1.02034,0.24433,0.741636,-1.67333,2.26534,-4.07041,3.10448,-9.24193,0.061027,-18.5874,-1.30838,-27.896,-6.39244,-39.7812,-20.4726,-56.5172
0.62,0.434,0,0,0.0770344,0.481992,1.09052,0.0951596,0.788475,-2.05461,2.31698,-4.60569,3.09836,-9.98527,-0.138132,-19.6012,-1.69723,-29.1567,-7.13847,-41.2472,-21.8151,-58.0774
0.63,0.441,0,0,0.108,0.452406,1.15557,-0.0409742,0.829527,-2.40533,2.36204,-5.09993,3.0874,-10.6764,-0.338113,-20.5463,-2.08395,-30.3359,-7.87798,-42.6171,-23.1383,-59.5185
0.64,0.448,0,0,0.132575,0.431641,1.20866,-0.145407,0.861554,-2.67751,2.40158,-5.49045,3.07905,-11.2367,-0.514324,-21.3234,-2.42717,-31.3224,-8.54952,-43.7731,-24.351,-60.7223
0.65,0.455,0,0,0.149195,0.420871,1.24894,-0.212244,0.885188,-2.8607,2.43602,-5.76104,3.07915,-11.645,-0.655354,-21.9076,-2.70951,-32.0875,-9.1269,-44.6874,-25.4186,-61.6648
0.66,0.462,0,0,0.158891,0.419307,1.27796,-0.245564,0.902293,-2.9639,2.46841,-5.92577,3.0886,-11.9214,-0.763551,-22.3262,-2.93691,-32.6649,-9.62255,-45.3983,-26.3622,-62.3889
0.67,0.469,0,0,0.166729,0.42032,1.30355,-0.269197,0.917365,-3.04307,2.4998,-6.05767,3.10044,-12.1552,-0.86115,-22.6892,-3.14651,-33.1774,-10.0918,-46.0351,-27.2625,-63.0274
0.68,0.476,0,0,0.177664,0.41744,1.33392,-0.307472,0.934742,-3.15672,2.53131,-6.236,3.10526,-12.4482,-0.97977,-23.1251,-3.39255,-33.7718,-10.6185,-46.7531,-28.2436,-63.7353
0.69,0.483,0,0,0.196748,0.403684,1.3767,-0.385294,0.957793,-3.36201,2.56191,-6.53567,3.09213,-12.8918,-1.14784,-23.7444,-3.72099,-34.5699,-11.2691,-47.6766,-29.397,-64.6335
0.7,0.49,0,0,0.226753,0.375267,1.43565,-0.516348,0.987072,-3.69012,2.58943,-6.99833,3.05189,-13.538,-1.38705,-24.6099,-4.16629,-35.6411,-12.0935,-48.8749,-30.7908,-65.7852
0.71,0.497,0,0,0.266281,0.333716,1.50849,-0.695517,1.01942,-4.12951,2.61041,-7.60961,2.98072,-14.3698,-1.70182,-25.7005,-4.73351,-36.9606,-13.0958,-50.3184,-32.4257,-67.1543
0.72,0.504,0,0,0.313176,0.281553,1.59045,-0.9123,1.05058,-4.6521,2.62089,-8.32998,2.87905,-15.3334,-2.0791,-26.9442,-5.39628,-38.4437,-14.2311,-51.9144,-34.2294,-68.6454
0.73,0.511,0,0,0.361189,0.227305,1.6727,-1.13694,1.07628,-5.19141,2.62148,-9.07341,2.75805,-16.3259,-2.49106,-28.2185,-6.11046,-39.9557,-15.4358,-53.5241,-36.1136,-70.1202
0.74,0.518,0,0,0.406237,0.176633,1.74849,-1.34777,1.09515,-5.6945,2.61499,-9.76726,2.6326,-17.2524,-2.89667,-29.4035,-6.80822,-41.3604,-16.6077,-55.0076,-37.9325,-71.4481
0.75,0.525,0,0,0.443938,0.135715,1.81294,-1.52321,1.10821,-6.11468,2.60768,-10.3511,2.51924,-18.0417,-3.26461,-30.4171,-7.44412,-42.5708,-17.6874,-56.2806,-39.6112,-72.5526
0.76,0.532,0,0,0.473548,0.106182,1.86522,-1.65748,1.11775,-6.43873,2.6044,-10.8074,2.42721,-18.6722,-3.57766,-31.2345,-7.99319,-43.5612,-18.6421,-57.3205,-41.1096,-73.4189
0.77,0.539,0,0,0.497384,0.0844872,1.90904,-1.76266,1.12553,-6.6944,2.60468,-11.1715,2.35256,-19.1857,-3.84559,-31.9056,-8.47036,-44.3859,-19.4917,-58.1844,-42.4545,-74.1067
0.78,0.546,0,0,0.519682,0.0650038,1.95073,-1.8606,1.13214,-6.93376,2.60481,-11.5152,2.27847,-19.6751,-4.11142,-32.5466,-8.94568,-45.176,-20.3402,-59.0048,-43.7916,-74.7361
0.79,0.553,0,0,0.547537,0.0373379,1.99861,-1.98718,1.13632,-7.23517,2.59477,-11.9395,2.17871,-20.2605,-4.42579,-33.2964,-9.49321,-46.0795,-21.2854,-59.926,-45.2442,-75.4403
0.8,0.56,0,0,0.584138,-0.00332716,2.05704,-2.16059,1.13575,-7.6416,2.567,-12.5036,2.03283,-21.0176,-4.83424,-34.248,-10.1844,-47.1991,-22.4284,-61.0454,-46.9458,-76.2977
0.81,0.567,0,0,0.631981,-0.0609105,2.12761,-2.39401,1.12659,-8.17968,2.513,-13.241,1.82501,-21.9834,-5.36043,-35.4396,-11.0496,-48.571,-23.8027,-62.3922,-48.929,-77.3301
0.82,0.574,0,0,0.689675,-0.133967,2.20775,-2.68234,1.105,-8.83742,2.42816,-14.1358,1.55073,-23.138,-6.00804,-36.8453,-12.0913,-50.1637,-25.406,-63.9301,-51.1835,-78.4962
0.83,0.581,0,0,0.753506,-0.217039,2.29162,-3.00624,1.06901,-9.57028,2.31439,-15.13,1.2196,-24.4105,-6.75361,-38.3799,-13.2725,-51.8838,-27.1862,-65.5633,-53.6372,-79.7031
0.84,0.588,0,0,0.818999,-0.304322,2.37344,-3.3432,1.01961,-10.3258,2.17794,-16.1512,0.853296,-25.7082,-7.54734,-39.9304,-14.5143,-53.6061,-29.0298,-67.1714,-56.1384,-80.8502
0.85,0.595,0,0,0.879916,-0.385404,2.44688,-3.65811,0.963314,-11.0285,2.03646,-17.1031,0.486846,-26.9189,-8.32821,-41.3696,-15.7317,-55.1991,-30.8295,-68.6303,-58.557,-81.8304
0.86,0.602,0,0,0.934285,-0.457829,2.51057,-3.94021,0.905272,-11.6534,1.89956,-17.9488,0.143065,-27.9937,-9.05058,-42.6396,-16.8552,-56.6004,-32.4908,-69.8894,-60.7757,-82.6174
0.87,0.609,0,0,0.980166,-0.517085,2.56421,-4.17659,0.85157,-12.1767,1.77908,-18.6627,-0.163031,-28.9095,-9.69929,-43.7213,-17.8724,-57.7971,-34.0103,-70.9387,-62.803,-83.1984
0.88,0.616,0,0,1.0218,-0.570701,2.6118,-4.3907,0.7992,-12.6466,1.66546,-19.3022,-0.446722,-29.7289,-10.295,-44.6829,-18.8068,-58.8587,-35.4131,-71.8508,-64.6679,-83.6492
0.89,0.623,0,0,1.06372,-0.625168,2.65812,-4.60797,0.74128,-13.1215,1.54288,-19.9488,-0.745931,-30.5554,-10.9142,-45.6473,-19.7744,-59.9163,-36.8561,-72.7401,-66.5661,-84.0473
0.9,0.63,0,0,1.11176,-0.689979,2.70717,-4.86129,0.666781,-13.671,1.38824,-20.6929,-1.10524,-31.4951,-11.6325,-46.7325,-20.88,-61.0897,-38.4723,-73.7104,-68.6535,-84.4652
0.91,0.637,0,0,1.17167,-0.775988,2.76176,-5.18623,0.560625,-14.3674,1.17188,-21.6252,-1.57416,-32.6492,-12.5247,-48.0461,-22.2205,-62.4831,-40.367,-74.8488,-71.0355,-84.9776
0.92,0.644,0,0,1.24219,-0.880978,2.81974,-5.57809,0.417356,-15.203,0.886449,-22.7407,-2.16868,-34.0169,-13.6231,-49.5871,-23.8454,-64.0923,-42.6038,-76.1332,-73.7817,-85.5365
