u1,u2,joint,pressure
31.22377503657554,-0.25506709797061017,MCP_end,0.294
31.252409547425636,-0.2644762070449222,MCP_end,0.301
31.281022737543562,-0.2739889081633422,MCP_end,0.308
31.30961338257773,-0.28360144704878093,MCP_end,0.315
31.338180315676233,-0.29331005929123155,MCP_end,0.322
31.366722426748453,-0.30311097134494186,MCP_end,0.329
31.39523866171669,-0.31300040150093544,MCP_end,0.336
31.42372802175835,-0.3229745608350499,MCP_end,0.343
31.45218956253932,-0.3330296541316725,MCP_end,0.35
31.480622393438978,-0.3431618807833571,MCP_end,0.357
31.509025676767457,-0.3533674356665089,MCP_end,0.364
31.537398626975587,-0.3636425099933398,MCP_end,0.371
31.565740509858177,-0.3739832921402928,MCP_end,0.378
31.594050641750943,-0.38438596845314443,MCP_end,0.385
31.62232838872173,-0.39484672402899795,MCP_end,0.392
31.650573165756427,-0.40536174347538617,MCP_end,0.399
31.67878443594003,-0.4159272116467057,MCP_end,0.406
31.70696170963335,-0.4265393143582084,MCP_end,0.413
31.7351045436458,-0.4371942390777833,MCP_end,0.42
31.763212540404616,-0.4478881755957605,MCP_end,0.427
31.791285347121093,-0.4586173166729786,MCP_end,0.434
31.81932265495403,-0.4693778586673518,MCP_end,0.441
31.847324198171005,-0.48016600213918664,MCP_end,0.448
31.875289753307676,-0.4909779524354904,MCP_end,0.455
31.903219138325625,-0.5018099202535233,MCP_end,0.462
31.93111221176902,-0.512658122183844,MCP_end,0.469
31.958968871920497,-0.5235187812331045,MCP_end,0.476
31.986789055956613,-0.5343881273268464,MCP_end,0.483
32.01457273910315,-0.5452623977925584,MCP_end,0.49
32.04231993379067,-0.5561378378232519,MCP_end,0.497
32.07003068881056,-0.5670107009218127,MCP_end,0.504
32.09770508847195,-0.5778772493263925,MCP_end,0.511
32.12534325175972,-0.5887337544170967,MCP_end,0.518
32.15294533149398,-0.5995764971042352,MCP_end,0.525
32.18051151349114,-0.6104017681983934,MCP_end,0.532
32.20804201572702,-0.6212058687625873,MCP_end,0.539
32.23553708750215,-0.6319851104467675,MCP_end,0.546
32.2629970086095,-0.6427358158049289,MCP_end,0.553
32.29042208850494,-0.6534543185950915,MCP_end,0.56
32.31781266548059,-0.6641369640624135,MCP_end,0.567
32.34516910584133,-0.6747801092056956,MCP_end,0.574
32.37249180308468,-0.6853801230275367,MCP_end,0.581
32.39978117708421,-0.6959333867684003,MCP_end,0.588
32.4270376732767,-0.7064362941248529,MCP_end,0.595
32.45426176185325,-0.7168852514522214,MCP_end,0.602
53.321842690491835,-0.10857137919757062,PIP_start,0.007
53.34878166694018,-0.21644877708540333,PIP_start,0.014
53.3753388357525,-0.32362801099298705,PIP_start,0.021
53.401522733710365,-0.43010493605237504,PIP_start,0.028
53.42734186531041,-0.535875444773585,PIP_start,0.035
53.452804702279415,-0.6409354666167664,PIP_start,0.042
53.47791968307881,-0.7452809675609674,PIP_start,0.049
53.50269521239909,-0.848907949669345,PIP_start,0.056
53.52713966064451,-0.951812450650676,PIP_start,0.063
53.55126136340824,-1.0539905434170391,PIP_start,0.07
53.57506862093838,-1.1554383356375564,PIP_start,0.077
53.598569697595174,-1.2561519692880836,PIP_start,0.084
53.62177282129961,-1.3561276201967694,PIP_start,0.091
53.6446861829739,-1.4553614975853937,PIP_start,0.098
53.66731793597397,-1.5538498436064285,PIP_start,0.105
53.6896761955143,-1.6515889328757605,PIP_start,0.112
53.71176903808552,-1.7485750720010318,PIP_start,0.119
53.7336045008649,-1.8448045991055766,PIP_start,0.126
53.75519058112016,-1.940273883347912,PIP_start,0.133
53.776535235606715,-2.0349793244367933,PIP_start,0.14
53.797646379958806,-2.1289173521418183,PIP_start,0.147
53.81853188807477,-2.2220844257996,PIP_start,0.154
53.83919959149649,-2.314477033815511,PIP_start,0.161
53.85965727878367,-2.4060916931610468,PIP_start,0.168
53.87991269488289,-2.496924948866832,PIP_start,0.175
53.89997354049174,-2.5869733735113183,PIP_start,0.182
53.919847471418535,-2.6762335667052244,PIP_start,0.189
53.93954209793745,-2.7647021545717987,PIP_start,0.196
53.959064984139644,-2.852375789222944,PIP_start,0.203
53.97842364728051,-2.9392511482313166,PIP_start,0.21
53.99762555712317,-3.0253249340984567,PIP_start,0.217
54.01667813527864,-3.110593873719066,PIP_start,0.224
54.03558875454269,-3.1950547178415185,PIP_start,0.231
54.05436473822974,-3.2787042405247164,PIP_start,0.238
54.07301335950395,-3.3615392385914027,PIP_start,0.245
54.09154184070774,-3.4435565310780594,PIP_start,0.252
54.10995735268784,-3.5247529586814994,PIP_start,0.259
54.12826701411925,-3.605125383202299,PIP_start,0.266
54.14647789082705,-3.6846706869852115,PIP_start,0.273
54.16459699510648,-3.7633857723566786,PIP_start,0.28
54.18263128504127,-3.841267561059625,PIP_start,0.287
54.20058766382057,-3.9183129936856567,PIP_start,0.294
54.218472979054475,-3.9945190291048402,PIP_start,0.301
54.23629402208836,-4.069882643893209,PIP_start,0.308
54.25405752731629,-4.1444008317581895,PIP_start,0.315
54.2717701714935,-4.218070602962086,PIP_start,0.322
54.28943857304814,-4.290888983743813,PIP_start,0.329
54.30706929139245,-4.362853015739073,PIP_start,0.336
54.324668826233506,-4.4339597553991075,PIP_start,0.343
54.34224361688354,-4.5042062734082755,PIP_start,0.35
54.35980004157018,-4.573589654100603,PIP_start,0.357
54.37734441674649,-4.642106994875486,PIP_start,0.364
54.39488299640108,-4.7097554056127855,PIP_start,0.371
54.41242197136833,-4.776532008087482,PIP_start,0.378
54.429967468638864,-4.842433935384071,PIP_start,0.385
54.447525550670285,-4.907458331310963,PIP_start,0.392
54.46510221469836,-4.97160234981501,PIP_start,0.399
54.482703392048755,-5.0348631543964375,PIP_start,0.406
54.500334947449254,-5.097237917524346,PIP_start,0.413
54.51800267834271,-5.158723820053005,PIP_start,0.42
54.53571231420072,-5.219318050639153,PIP_start,0.427
54.55346951583806,-5.2790178051605166,PIP_start,0.434
54.57127987472802,-5.3378202861357495,PIP_start,0.441
54.58914891231868,-5.39572270214603,PIP_start,0.448
54.60708207935011,-5.4527222672585145,PIP_start,0.455
54.62508475517264,-5.508816200451861,PIP_start,0.462
54.643162247066215,-5.564001725044063,PIP_start,0.469
54.66131978956082,-5.6182760681228,PIP_start,0.476
54.679562543758145,-5.671636459978506,PIP_start,0.483
54.697895596654334,-5.724080133540415,PIP_start,0.49
54.71632396046407,-5.775604323815769,PIP_start,0.497
54.73485257194584,-5.826206267332417,PIP_start,0.504
54.75348629172848,-5.875883201585059,PIP_start,0.511
54.77222990363911,-5.924632364485285,PIP_start,0.518
54.791088114032206,-5.972450993815722,PIP_start,0.525
54.810065551120175,-6.0193363266884194,PIP_start,0.532
54.82916676430515,-6.065285599007754,PIP_start,0.539
54.848396223512204,-6.110296044938067,PIP_start,0.546
54.86775831852386,-6.1543648963762205,PIP_start,0.553
54.88725735831599,-6.197489382429334,PIP_start,0.56
54.90689757039504,-6.239666728897889,PIP_start,0.567
54.926683100136586,-6.280894157764443,PIP_start,0.574
54.94661801012527,-6.32116888668817,PIP_start,0.581
54.96670627949604,-6.360488128505401,PIP_start,0.588
54.986951803276675,-6.398849090736478,PIP_start,0.595
55.00735839173167,-6.436248975099017,PIP_start,0.602
73.87087971129927,-0.20540042395698763,PIP_end,0.007
73.91136106898517,-0.40965578388753965,PIP_end,0.014
73.9511399906306,-0.6127675421832567,PIP_end,0.021
73.99025097841798,-0.814737916955957,PIP_end,0.028
74.02872928844205,-1.015569938760059,PIP_end,0.035
74.06661090960938,-1.2152675087757727,PIP_end,0.042
74.10393254041338,-1.4138354583987294,PIP_end,0.049
74.14073156346265,-1.6112796101767743,PIP_end,0.056
74.17704601763973,-1.8076068400295326,PIP_end,0.063
74.21291456776522,-2.0028251406810123,PIP_end,0.07
74.24837647164134,-2.196943686229923,PIP_end,0.077
74.28347154434779,-2.3899728977765755,PIP_end,0.084
74.31824011966168,-2.581924510019214,PIP_end,0.091
74.35272300847295,-2.7728116387263153,PIP_end,0.098
74.38696145406591,-2.9626488489849527,PIP_end,0.105
74.42099708413733,-3.1514522241185348,PIP_end,0.112
74.45487185942187,-3.3392394351603287,PIP_end,0.119
74.48862801879562,-3.526029810761987,PIP_end,0.126
74.52230802072894,-3.711844407408886,PIP_end,0.133
74.55595448096125,-3.8967060798065103,PIP_end,0.14
74.5896101062711,-4.080639551294297,PIP_end,0.147
74.62331762421657,-4.26367148413531,PIP_end,0.154
74.65711970872302,-4.445830549521905,PIP_end,0.161
74.6910589013972,-4.6271474971291795,PIP_end,0.168
74.72517752844983,-4.807655224039343,PIP_end,0.175
74.75951761311097,-4.987388842851434,PIP_end,0.182
74.79412078342718,-5.166385748781845,PIP_end,0.189
74.829028175332,-5.3446856855520855,PIP_end,0.196
74.86428033088664,-5.522330809850932,PIP_end,0.203
74.89991709159229,-5.699365754148817,PIP_end,0.21
74.9359774866802,-5.875837687632826,PIP_end,0.217
74.97249961629272,-6.0517963750211035,PIP_end,0.224
75.0095205294735,-6.227294233005881,PIP_end,0.231
75.04707609689287,-6.402386384064547,PIP_end,0.238
75.0852008782413,-6.577130707368501,PIP_end,0.245
75.12392798423251,-6.751587886509768,PIP_end,0.252
75.1632889331655,-6.925821453755472,PIP_end,0.259
75.20331350200516,-7.099897830530647,PIP_end,0.266
75.24402957194962,-7.273886363820032,PIP_end,0.273
75.28546296846466,-7.447859358169895,PIP_end,0.28
75.32763729577509,-7.621892102961399,PIP_end,0.287
75.37057376581623,-7.796062894617548,PIP_end,0.294
75.41429102166008,-7.970453053396502,PIP_end,0.301
75.45880495544482,-8.145146934414932,PIP_end,0.308
75.50412852085014,-8.320231932536299,PIP_end,0.315
75.55027154017549,-8.495798480750157,PIP_end,0.322
75.5972405060936,-8.671940041660406,PIP_end,0.329
75.64503837816866,-8.848753091692332,PIP_end,0.336
75.69366437424485,-9.026337097620607,PIP_end,0.343
75.74311375682892,-9.204794485013243,PIP_end,0.35
75.79337761460958,-9.384230598179684,PIP_end,0.357
75.84444263927483,-9.564753651204796,PIP_end,0.364
75.89629089780976,-9.746474669644975,PIP_end,0.371
75.94889960047766,-9.929507422457206,PIP_end,0.378
76.00224086470874,-10.113968343727375,PIP_end,0.385
76.05628147514456,-10.299976443760425,PIP_end,0.392
76.11098264010829,-10.487653209091523,PIP_end,0.399
76.16629974479596,-10.67712249097531,PIP_end,0.406
76.2221821015088,-10.868510381908608,PIP_end,0.413
76.278572697272,-11.061945079741387,PIP_end,0.42
76.33540793921235,-11.257556738931122,PIP_end,0.427
76.39261739809409,-11.45547730849698,PIP_end,0.434
76.4501235504406,-11.655840356232634,PIP_end,0.441
76.50784151969795,-11.858780878740138,PIP_end,0.448
76.56567881692607,-12.06443509685184,PIP_end,0.455
76.62353508153325,-12.272940236013417,PIP_end,0.462
76.68130182260028,-12.484434291208288,PIP_end,0.469
76.73886216137208,-12.699055776012418,PIP_end,0.476
76.79609057552658,-12.916943455378462,PIP_end,0.483
76.85285264586258,-13.138236061759969,PIP_end,0.49
76.90900480608197,-13.363071994199455,PIP_end,0.497
76.96439409637424,-13.591589000018885,PIP_end,0.504
77.01885792154579,-13.823923838767856,PIP_end,0.511
77.07222381446965,-14.060211928102724,PIP_end,0.518
77.12430920566639,-14.300586971290368,PIP_end,0.525
77.17492119986113,-14.545180566052027,PIP_end,0.532
77.22385636039616,-14.794121794486765,PIP_end,0.539
77.27090050241391,-15.04753679384017,PIP_end,0.546
77.31582849575888,-15.305548307911721,PIP_end,0.553
77.35840407858268,-15.568275218924892,PIP_end,0.56
77.39837968267015,-15.835832059716067,PIP_end,0.567
77.43549627153911,-16.108328506133464,PIP_end,0.574
77.46948319239937,-16.385868849573964,PIP_end,0.581
77.50005804309099,-16.6685514496253,PIP_end,0.588
77.52692655515366,-16.956468166822958,PIP_end,0.595
77.54978249421114,-17.24970377557516,PIP_end,0.602
90.47045564581258,-0.3240545192357248,DIP_start,0.007
90.50963692457753,-0.648901727759775,DIP_start,0.014
90.54719745594437,-0.9745362638869346,DIP_start,0.021
90.58312881811145,-1.300952886911943,DIP_start,0.028
90.61742272540172,-1.6281465091339353,DIP_start,0.035
90.65007101600608,-1.9561122290436757,DIP_start,0.042
90.68106563819315,-2.2848453656297902,DIP_start,0.049
90.71039863488296,-2.6143414937559273,DIP_start,0.056
90.73806212648203,-2.944596480556318,DIP_start,0.063
90.76404829187459,-3.2756065227925384,DIP_start,0.07
90.78834934746433,-3.607368185109376,DIP_start,0.077
90.81095752416047,-3.939878439122613,DIP_start,0.084
90.83186504219934,-4.273134703266253,DIP_start,0.091
90.85106408369438,-4.607134883321145,DIP_start,0.098
90.86854676280498,-4.941877413541313,DIP_start,0.105
90.88430509341549,-5.277361298288291,DIP_start,0.112
90.89833095421545,-5.613586154077667,DIP_start,0.119
