joint,lmbd,delta_l_theta_modifier,delta_l_n_bellow_modifier,gamma,c_theta,quadratic_correction_term,total_execution_time,total_function_evaluations,average_time_per_evaluation,mean_l2,max_l2
MCP,1.497872460452244,2.258432333859645,0.003930476830766427,0.06820340698526106,5.407133738301678,-0.9409635379370057,322.96009191099984,4000004,8.073994223780772e-05,2.284230821967235,9.24866812059293
PIP,1.4431657021221858,7.257523536597328,0.02702977011650326,0.29149407992638837,6.607079487995326,12.67272587356856,322.96009191099984,4000004,8.073994223780772e-05,2.284230821967235,9.24866812059293
DIP,1.3607227786884504,12.746472540247824,0.003031906378850178,0.5371717638486873,2.8048878356330063,13.124613494332351,322.96009191099984,4000004,8.073994223780772e-05,2.284230821967235,9.24866812059293
