time,pressure,joint,resample_u1_start,resample_u1_mid,resample_u1_end,resample_u2_start,resample_u2_mid,resample_u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.007,MCP,0,15.391507237222287,30.000348505212617,0,0.01901860178870457,0.04480602604032444,0,15.4,30,30,30.000383360955407,28327.036752484488,-27.306679371116903,28327.023590943485,0.0010590724198613593,3.1406286740588993,3.1395696016388412,3.8336095540714155e-4,-0.06199142250718316
0.02,0.014,MCP,0,15.390492724251825,30.01501205113231,0,0.027123276419484907,0.05132843879217878,0,15.4,30,30,30.015055842264413,139954.91938396907,254.3429744150135,-139954.68827239997,2.1446231382490756e-4,-0.0018173217171351542,6.28158244777738,0.015055842264413144,0.014741894822873282
0.03,0.021,MCP,0,15.388478207631701,30.027793923427698,0,0.03655520054814442,0.06257219299920308,0,15.4,30,30,30.027860905164413,25094.781325386193,67.30651007082596,-25094.691064100665,0.0011965779066099235,-0.002682095129444645,6.281699789956905,0.027860905164413197,0.07386412614625885
0.04,0.028,MCP,0,15.385412967659365,30.038601971949934,0,0.047375374225866664,0.07876297542177883,0,15.4,30,30,30.03870962948064,16025.754005586174,57.039604616056145,-16025.652496265684,0.0018744022664400003,-0.0035592537504756994,6.281500455695567,0.03870962948063905,0.11449635156350163
0.05,0.035,MCP,0,15.381485933047841,30.047774421237143,0,0.05935675566706101,0.09906848030616909,0,15.4,30,30,30.047944373934516,13049.865021482716,58.049450243424076,-13049.73591074718,0.002302548288773066,-0.004448294414451297,6.281039561053953,0.04794437393451645,0.13983657970138919
0.06,0.042,MCP,0,15.376809478841846,30.055514055899575,0,0.07236319575490739,0.1229892660147543,0,15.4,30,30,30.05577361186186,11955.096282777353,63.94839908391515,-11954.925249985106,0.0025140553368156932,-0.0053490747817784776,6.280350287734507,0.05577361186185925,0.15180219827702374
0.07,0.049,MCP,0,15.371495980086083,30.06202366054748,0,0.08625854537258584,0.1500258909099149,0,15.4,30,30,30.062406106001,11827.700561419784,74.05690458867501,-11827.46871251379,0.002541694892417224,-0.006261351316813792,6.279465650755172,0.06240610600099927,0.15231137282881826
0.08,0.056,MCP,0,15.365391241618518,30.067029665926295,0,0.10121235146869606,0.18082837322817344,0,15.4,30,30,30.067580305799233,12832.511803531028,92.20903573109966,-12832.180511569057,0.002343078328400661,-0.007185641490871792,6.278342744017109,0.06758030579923258,0.13878883010236787
0.09,0.063,MCP,0,15.358409013241078,30.070377039968847,0,0.1173267189913167,0.21577525664090497,0,15.4,30,30,30.07115569380711,15869.19502300261,128.90439390719968,-15868.671473545675,0.0018949389461922024,-0.008123021446558732,6.2769572246793395,0.07115569380711051,0.10976141960568316
0.1,0.07,MCP,0,15.350763587444433,30.072446373066462,0,0.134364335822846,0.2539598876627687,0,15.4,30,30,30.073520676328695,23900.971326421888,216.87116156299095,-23899.987390074573,0.001258255167357287,-0.009073862925642879,6.275369699421258,0.07352067632869463,0.0688023357723758
0.11,0.077,MCP,0,15.342669256719248,30.07361825561047,0,0.1520878898456822,0.2944756128084238,0,15.4,30,30,30.07506026523899,60923.382184285925,611.5593027704153,-60920.312638657415,4.936538187303118e-4,-0.010038339171677929,6.273640621826442,0.07506026523898868,0.01948646233050446
0.12,0.084,MCP,0,15.33303472913728,30.071920619539227,0,0.17179390169296,0.3421377783122152,0,15.4,30,30,30.07386748121938,42569.58471661583,-469.2603324490886,42566.9982226316,7.064637271286535e-4,3.130569059167507,3.129862595440243,0.07386748121938069,-0.05686621065457632
0.13,0.091,MCP,0,15.321477802572192,30.066665745293907,0,0.19392695419677497,0.3986123450264832,0,15.4,30,30,30.069315463632453,12282.291426768672,-147.7861549385773,12281.402279238462,0.002448184497405574,3.1295599052925307,3.1271117207951393,0.06931546363245289,-0.16676623998363396
0.14,0.098,MCP,0,15.309276404217496,30.060160746020056,0,0.21697182853796695,0.45826858139288096,0,15.4,30,30,30.063677628799233,6879.438375263888,-89.83484954765751,6878.851798000898,0.004370077321558393,3.1285338255287116,3.124163748207141,0.06367762879923333,-0.28837451851033946
0.15,0.105,MCP,0,15.297708461266708,30.054712734863216,0,0.2394133058973756,0.5154757558530615,0,15.4,30,30,30.05917972429725,4917.998116761528,-69.30963910804437,4917.509700081602,0.006112076298250199,3.127499127731909,3.121387051433643,0.05917972429724827,-0.3998414261470967
0.16,0.112,MCP,0,15.285105309127461,30.04700276483806,0,0.2632380225941455,0.5778819522677204,0,15.4,30,30,30.052643173691497,3672.8310800093823,-55.60093390133738,3672.4102001862734,0.008182419098243616,3.126453635048297,3.118271215950047,0.052643173691496514,-0.5304265069162909
0.17,0.119,MCP,0,15.270541406195829,30.035343929802494,0,0.2895410793854161,0.6495734900732625,0,15.4,30,30,30.042514416187537,2770.843623307081,-44.89239100868358,2770.4799328006397,0.010842370952833108,3.125390239686095,3.1145478687332515,0.0425144161875366,-0.695972500152818
0.18,0.126,MCP,0,15.256409364147997,30.02449140416701,0,0.31546995410901985,0.7195769910749059,0,15.4,30,30,30.033336457318207,2247.3992044225492,-38.83301029984232,2247.0636798609335,0.013363596640159453,3.124312704901375,3.1109491082612237,0.03333645731820667,-0.8544781988329185
0.19,0.133,MCP,0,15.24510179466014,30.019200362342037,0,0.3381721246027888,0.7769190770778673,0,15.4,30,30,30.029534546602036,1999.409002333003,-36.71780151347802,1999.071825038378,0.015019205430985949,3.12322729381534,3.1082080883843415,0.02953454660203647,-0.9639201835569429
