time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.24,0.072,0,0,-0.245524,0.544707,0.0378409,1.29733,-0.0823812,1.9747,0.718736,1.62867,1.55576,0.132458,1.07502,-3.50593,1.67601,-7.22472,1.59779,-12.6367,-1.5205,-22.4154
0.25,0.075,0,0,-0.211107,0.511923,0.119546,1.15614,0.00122094,1.58585,0.834973,1.08784,1.68195,-0.619919,1.11359,-4.61416,1.65715,-8.63081,1.4397,-14.393,-2.0506,-24.6796
0.26,0.078,0,0,-0.173268,0.475785,0.211932,0.994849,0.0940464,1.13164,0.964906,0.447908,1.8178,-1.52055,1.13228,-5.9492,1.59047,-10.3253,1.18548,-16.4974,-2.76542,-27.3627
0.27,0.081,0,0,-0.131568,0.434956,0.312169,0.813181,0.19124,0.622286,1.09857,-0.270808,1.949,-2.53084,1.1202,-7.43775,1.46754,-12.2071,0.835786,-18.8185,-3.64264,-30.2886
0.28,0.084,0,0,-0.0823714,0.382894,0.420788,0.596826,0.291104,0.0438758,1.22505,-1.07077,2.05961,-3.62503,1.0745,-9.0007,1.29718,-14.1522,0.424942,-21.1837,-4.59447,-33.2186
0.29,0.087,0,0,-0.0321897,0.328472,0.526857,0.375352,0.3826,-0.536124,1.33612,-1.86749,2.14645,-4.70445,0.999015,-10.5225,1.09045,-16.0354,-0.0279428,-23.4612,-5.58947,-36.0132
0.3,0.09,0,0,0.00827165,0.28696,0.616693,0.19583,0.455247,-1.02008,1.4295,-2.54583,2.21643,-5.64798,0.903085,-11.8822,0.859378,-17.7429,-0.514291,-25.5474,-6.62974,-38.5834
0.31,0.093,0,0,0.0373712,0.260345,0.68731,0.0674517,0.508953,-1.38234,1.50547,-3.06832,2.27329,-6.40212,0.803156,-13.0016,0.63153,-19.1776,-0.989538,-27.328,-7.64109,-40.7942
0.32,0.096,0,0,0.0589269,0.24285,0.741361,-0.023198,0.54762,-1.64084,1.56392,-3.44588,2.31829,-6.95908,0.718734,-13.8409,0.443341,-20.2718,-1.38905,-28.7089,-8.50843,-42.5225
0.33,0.099,0,0,0.0709259,0.237403,0.776745,-0.0665566,0.571368,-1.77586,1.60794,-3.65439,2.35862,-7.29224,0.662644,-14.3733,0.313067,-20.9996,-1.6888,-29.6678,-9.20092,-43.7542
0.34,0.102,0,0,0.0686492,0.251282,0.789545,-0.0425711,0.578704,-1.75268,1.64206,-3.65867,2.40318,-7.37627,0.637921,-14.5944,0.238228,-21.3762,-1.90419,-30.2409,-9.76035,-44.553
0.35,0.105,0,0,0.0547551,0.281188,0.783361,0.0375276,0.572225,-1.59752,1.66801,-3.49206,2.45202,-7.25129,0.641842,-14.5543,0.213752,-21.4579,-2.04293,-30.4896,-10.1986,-44.9886
0.36,0.108,0,0,0.0363338,0.316388,0.767354,0.14032,0.557786,-1.37982,1.6859,-3.23675,2.49974,-7.00484,0.668076,-14.344,0.23325,-21.3336,-2.10715,-30.5006,-10.5095,-45.1468
0.37,0.111,0,0,0.0172031,0.352186,0.747817,0.248346,0.539738,-1.14305,1.69889,-2.95097,2.54499,-6.71156,0.704067,-14.0617,0.273846,-21.1179,-2.13359,-30.4023,-10.7526,-45.173
0.38,0.114,0,0,-0.00242468,0.388766,0.72848,0.357118,0.521172,-0.908701,1.71239,-2.67153,2.59008,-6.4323,0.733908,-13.8057,0.301939,-20.9384,-2.18391,-30.3481,-11.0372,-45.249
0.39,0.117,0,0,-0.0180814,0.420576,0.716807,0.446424,0.508362,-0.725859,1.73144,-2.46365,2.63503,-6.24999,0.745392,-13.6832,0.293042,-20.919,-2.29944,-30.4752,-11.4316,-45.525
0.4,0.12,0,0,-0.0230307,0.437957,0.723272,0.484679,0.510261,-0.663731,1.76048,-2.41262,2.67766,-6.26052,0.730201,-13.8004,0.232925,-21.1695,-2.49896,-30.8936,-11.9584,-46.11
0.41,0.123,0,0,-0.0138971,0.436849,0.753435,0.457257,0.531692,-0.757354,1.80299,-2.56471,2.71711,-6.52155,0.678586,-14.2293,0.102829,-21.7715,-2.81297,-31.6911,-12.6656,-47.0963
0.42,0.126,0,0,0.00799747,0.419431,0.806675,0.368508,0.571558,-1.00268,1.85948,-2.92086,2.75193,-7.0447,0.577677,-14.9978,-0.121934,-22.7663,-3.28456,-32.9189,-13.6251,-48.5418
0.43,0.129,0,0,0.0422101,0.386061,0.881785,0.219517,0.626963,-1.3969,1.92592,-3.47825,2.77567,-7.82725,0.41664,-16.1016,-0.456492,-24.1487,-3.93387,-34.5682,-14.8622,-50.4295
0.44,0.132,0,0,0.0893905,0.33487,0.977209,0.00669284,0.693476,-1.94061,1.99395,-4.23231,2.77786,-8.85341,0.189667,-17.5054,-0.901235,-25.8666,-4.74956,-36.5706,-16.3431,-52.6719
0.45,0.135,0,0,0.146841,0.268766,1.08684,-0.258542,0.763022,-2.60336,2.05415,-5.1413,2.75022,-10.0675,-0.104919,-19.1331,-1.45062,-27.8287,-5.71417,-38.821,-18.0291,-55.148
0.46,0.138,0,0,0.208506,0.195916,1.20091,-0.54873,0.826499,-3.323,2.09996,-6.12678,2.69105,-11.3774,-0.461934,-20.875,-2.09281,-29.9151,-6.808,-41.1908,-19.8879,-57.7196
0.47,0.141,0,0,0.269233,0.123279,1.31109,-0.839086,0.878288,-4.04107,2.12854,-7.11225,2.6045,-12.6884,-0.863407,-22.6131,-2.79651,-31.9922,-7.98244,-43.5354,-21.8441,-60.2316
0.48,0.144,0,0,0.326239,0.0544717,1.41221,-1.11437,0.91684,-4.71737,2.1404,-8.0406,2.49928,-13.9226,-1.27929,-24.2418,-3.51071,-33.9344,-9.15758,-45.7158,-23.7744,-62.5378
0.49,0.147,0,0,0.37625,-0.00575829,1.49951,-1.35633,0.94303,-5.30759,2.14068,-8.85142,2.39074,-15.0022,-1.67341,-25.6626,-4.17942,-35.6302,-10.2532,-47.6152,-25.5647,-64.5222
0.5,0.15,0,0,0.415034,-0.0505434,1.56873,-1.54209,0.959808,-5.76319,2.13865,-9.48365,2.29794,-15.857,-2.01292,-26.797,-4.75761,-36.9977,-11.2114,-49.153,-27.1417,-66.1113
0.51,0.153,0,0,0.4406,-0.0762957,1.61848,-1.65964,0.97118,-6.05887,2.14289,-9.90535,2.23618,-16.4504,-2.27287,-27.6051,-5.21174,-37.9967,-11.9907,-50.2929,-28.4553,-67.2771
0.52,0.156,0,0,0.454138,-0.0845058,1.65044,-1.71289,0.980243,-6.20217,2.15713,-10.124,2.21177,-16.7887,-2.44096,-28.093,-5.52349,-38.6334,-12.5653,-51.0441,-29.4716,-68.0368
0.53,0.159,0,0,0.457767,-0.0782844,1.66773,-1.71242,0.988545,-6.2172,2.18149,-10.1702,2.22269,-16.9081,-2.52239,-28.3049,-5.70048,-38.9568,-12.9457,-51.4607,-30.2069,-68.4519
0.54,0.162,0,0,0.453576,-0.0605534,1.67399,-1.67024,0.996499,-6.13441,2.21424,-10.0862,2.26105,-16.8646,-2.53961,-28.3144,-5.77904,-39.0529,-13.1867,-51.6367,-30.7432,-68.6207
0.55,0.165,0,0,0.444844,-0.036105,1.67433,-1.60469,1.00404,-5.99868,2.25151,-9.93304,2.31341,-16.7372,-2.52623,-28.2225,-5.81212,-39.0372,-13.3653,-51.6947,-31.1918,-68.6675
0.56,0.168,0,0,0.436779,-0.0127251,1.67563,-1.54312,1.01133,-5.87225,2.28763,-9.79205,2.36272,-16.6248,-2.51915,-28.1488,-5.85512,-39.0411,-13.5585,-51.771,-31.6587,-68.7282
0.57,0.171,0,0,0.434602,0.00177063,1.6846,-1.51238,1.01903,-5.81509,2.31755,-9.74072,2.39344,-16.6206,-2.55145,-28.2039,-5.95749,-39.1851,-13.834,-51.9893,-32.2358,-68.9242
