time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.06,0.042,MCP,0,15.39618229,30.0881477,0,0.0469896,0.0359119,0,15.4,30,30,30.088241773214538,3952.7205025572807,19.761831008037518,-3952.671102099426,0.007612033725569119,-0.004999572654423758,0.002612461071152166,0.08824177321453774,0.4604809619472348
0.06,0.042,PIP,53.502479,63.702479,74.08608,-0.152271,-0.376047,-0.826445,53.267,63.467,73.667,20.4,20.59621261620101,480.9183637558564,48.05482750781214,-481.0397793539079,0.04282683750179461,0.011327843583533484,0.05415468108532397,0.19621261620101293,3.050099635078395
0.06,0.042,DIP,90.64106699999999,101.05004699999999,111.436487,-1.84206,-2.71312,-3.91004,90.267,100.467,110.667,20.400000000000006,20.90139152106882,334.49039872970155,67.95512503125003,-335.5622644817563,0.06248726899320967,0.06787450476628805,0.1303617737594981,0.5013915210688147,4.449703362182806
0.07,0.049,MCP,0,15.39970018,30.113897,0,0.0503105,0.0202212,0,15.4,30,30,30.114045405697645,2834.5934022662746,16.960324158368977,-2834.542662154856,0.010623761905894964,-0.005983371493036186,0.00464039041285539,0.11404540569764521,0.6448886422344371
0.07,0.049,PIP,53.55903,63.759029999999996,74.176344,-0.243675,-0.533438,-1.09979,53.267,63.467,73.667,20.4,20.63739047362198,398.21387030400655,47.35200585471559,-398.40916741961695,0.05182489112663723,0.01558779334013715,0.06741268446678077,0.23739047362198207,3.7026466520544075
0.07,0.049,DIP,90.712797,101.148369,111.546643,-2.35697,-3.42726,-4.883,90.267,100.467,110.667,20.400000000000006,20.99118408539909,284.51149713991316,66.90780406022765,-285.87083970646114,0.07377973929495135,0.08376763678828633,0.1575473760832443,0.5911840853990853,5.2445289125627514
0.08,0.056,MCP,0,15.399202702,30.130138,0,0.058391,0.0245126,0,15.4,30,30,30.13033431557828,2473.1007777077407,17.077040710544278,-2473.0418175557,0.012183221398484774,-0.006905168028173662,0.005278053370291707,0.13033431557828123,0.7362309272399824
0.08,0.056,PIP,53.600109,63.800109,74.245705,-0.277085,-0.609166,-1.25872,53.267,63.467,73.667,20.4,20.67192987279373,349.6717487742456,47.323099760979574,-349.8924894744773,0.05911810132004659,0.017952112033761285,0.07707021335380602,0.2719298727937307,4.22977173996451
0.08,0.056,DIP,90.765408,101.225022,111.634412,-2.69413,-3.91963,-5.58587,90.267,100.467,110.667,20.400000000000006,21.074622546067605,250.34490529692587,66.86929259589498,-251.89595037200388,0.08418235042998654,0.09559831921367953,0.17978066964366796,0.6746225460675994,5.97510425471517
0.09,0.063,MCP,0,15.39340546,30.132696,0,0.0724706,0.0563715,0,15.4,30,30,30.132917681174508,2597.6109649302875,19.925803894858042,-2597.5345401871373,0.011600242718402288,-0.007670894363950014,0.003929348354449243,0.13291768117450786,0.6931940590666531
0.09,0.063,PIP,53.621657000000006,63.821657,74.292043,-0.227824,-0.569384,-1.26,53.267,63.467,73.667,20.4,20.699759978841858,319.54123033803637,48.0287695670497,-319.7201048083293,0.0647796215747933,0.017503760094511423,0.08228338166930382,0.299759978841859,4.6279462566931615
0.09,0.063,DIP,90.800102999999993,101.285839,111.71053,-2.79755,-4.12767,-5.9521,90.267,100.467,110.667,20.400000000000006,21.154850216227526,224.67256854180923,67.77754971620543,-226.28742694181767,0.09415858087851446,0.10265176614010407,0.1968103470186193,0.7548502162275206,6.6714850906006085
0.1,0.07,MCP,0,15.373470000000001,30.114402,0,0.106291,0.151336,0,15.4,30,30,30.11485696471687,3902.8636992166403,34.67013992214251,-3902.7097043029958,0.007716092409468808,-0.008883373490191842,6.2820180260988705,0.11485696471687135,0.45656904296181
0.1,0.07,PIP,53.627247000000004,63.827247,74.327726,-0.0360332,-0.354223,-1.05846,53.267,63.467,73.667,20.4,20.730136524608167,289.67366246425587,49.69664928297576,-289.6830271893086,0.07156376022679022,0.01356947093506714,0.08513323116185316,0.330136524608168,5.087980085702394
0.1,0.07,DIP,90.827433,101.343369,111.78562,-2.66015,-4.07411,-6.03864,90.267,100.467,110.667,20.400000000000006,21.238430943250954,203.03638436161043,69.03809746924706,-204.52396109986967,0.10460406399586505,0.10752446451017411,0.21212852850603828,0.8384309432509482,7.398576582359566
0.11,0.077,MCP,0,15.3488392,30.0859046,0,0.145724,0.268619,0,15.4,30,30,30.087110433692725,13026.200569651992,131.34137261529173,-13025.538404405454,0.0023097379986447217,-0.010083032075623593,6.275412013102558,0.08711043369272531,0.1270008070992804
0.11,0.077,PIP,53.619394,63.819393999999996,74.349065,0.216455,-0.0570106,-0.749326,53.267,63.467,73.667,20.4,20.75737769572856,267.1437573443471,51.56105403659308,-266.91937248229493,0.07770115200173813,0.007705066180895188,0.08540621818263215,0.3573776957285624,5.487670300528754
0.11,0.077,DIP,90.84447899999999,101.393048,111.85656,-2.37098,-3.83944,-5.91414,90.267,100.467,110.667,20.400000000000006,21.320433537136015,185.6526159863805,70.53154831606341,-186.90899415864445,0.11484046924876126,0.10963314109689272,0.22447361034565438,0.9204335371360095,8.108174951633053
0.12,0.084,MCP,0,15.3252009,30.0566045,0,0.183106,0.382138,0,15.4,30,30,30.059045873177723,9619.24693532254,-107.26023643893537,9618.648909508609,0.0031248855627979384,3.1304418368995925,3.1273169513368493,0.05904587317772325,-0.20723444874465163
0.12,0.084,PIP,53.606074,63.806073999999995,74.362047,0.467315,0.243779,-0.426044,53.267,63.467,73.667,20.4,20.78114203821255,250.63091354810874,53.21587989968696,-250.16329481157834,0.08291531856154528,0.0015568480855496394,0.084472166647095,0.3811420382125519,5.815565119875255
0.12,0.084,DIP,90.85517,101.436506,111.92298,-2.04563,-3.55195,-5.71853,90.267,100.467,110.667,20.400000000000006,21.399430275487173,171.6508348883793,71.96588124981007,-172.65396475651065,0.12466837280111538,0.11026816439120783,0.23493653719232258,0.9994302754871676,8.786465616134908
0.13,0.091,MCP,0,15.301358500000001,30.0292376,0,0.221177,0.494451,0,15.4,30,30,30.033392156819374,3663.47906646187,-45.29827337350132,3663.1990031710966,0.008198052073442076,3.1292275146336053,3.1210294625601462,0.03339215681937446,-0.5161305836677854
0.13,0.091,PIP,53.59785,63.79785,74.3829,0.706767,0.524311,-0.138064,53.267,63.467,73.667,20.4,20.809113338932608,233.23874624022517,54.52737689828131,-232.53012701005474,0.0892180809336892,-0.003985312791458058,0.08523276814222724,0.4091133389326096,6.219440294644883
0.13,0.091,DIP,90.871029,101.48389,111.9885,-1.78476,-3.35049,-5.6327,90.267,100.467,110.667,20.400000000000006,21.481475085376566,159.21977811615926,72.95227304274795,-159.9930275725369,0.13491712737914188,0.11277994690323438,0.2476970742823761,1.0814750853765602,9.492368795575295
0.14,0.098,MCP,0,15.283608000000001,30.0131154,0,0.251291,0.578223,0,15.4,30,30,30.01885032562368,2609.566775367411,-35.25835497639932,2609.3285733126495,0.011503384626514188,3.12808105153147,3.1165776669049507,0.018850325623681385,-0.7186188805798325
0.14,0.098,PIP,53.602433000000005,63.802433,74.41644000000001,0.874102,0.710789,0.0310931,53.267,63.467,73.667,20.4,20.839053264617238,217.34241859093203,55.22395074719352,-216.46226771098844,0.0958812062538016,-0.007460728562566028,0.08842047769123472,0.4390532646172396,6.657434202051395
0.14,0.098,DIP,90.895443,101.53599,112.05153,-1.68313,-3.33542,-5.761,90.267,100.467,110.667,20.400000000000006,21.564475006067266,148.41557296660508,73.45730337027202,-149.07069251889027,0.14529792645761963,0.11776738325295227,0.2630653097105712,1.16447500606726,10.205651739915155
0.15,0.105,MCP,0,15.275368,30.0132227,0,0.268828,0.619057,0,15.4,30,30,30.019796404548316,2435.698801637179,-35.22082142535176,2435.444137325862,0.012324921449388659,3.127131896390877,3.1148069749415015,0.019796404548316104,-0.7745451113281071
0.15,0.105,PIP,53.623668,63.823668,74.464144,0.938251,0.766259,0.0415805,53.267,63.467,73.667,20.4,20.868852257930577,204.03464311423687,55.284807933697095,-203.08962994982184,0.10228092611824906,-0.008141550179338309,0.09413937593890796,0.4688522579305783,7.092604162161379
0.15,0.105,DIP,90.92918499999999,101.59169,112.10976000000001,-1.78143,-3.54633,-6.14022,90.267,100.467,110.667,20.400000000000006,21.646229215234435,139.20141160443458,73.54570569677591,-139.89315158792894,0.15550294329446904,0.12520693430125449,0.28070987759572363,1.246229215234429,10.904768070572741
0.16,0.112,MCP,0,15.27238,30.0242496,0,0.27991,0.635231,0,15.4,30,30,30.031134555285863,2608.6607572592475,-40.1667389002673,2608.351506133809,0.011512088902980873,3.12619458924179,3.114682500338804,0.031134555285863286,-0.7307170076045337
0.16,0.112,PIP,53.659691,63.859691,74.527355,0.93668,0.733231,-0.0645071,53.267,63.467,73.667,20.4,20.90208906110847,191.06572474230012,54.95081380826435,-190.12468232423964,0.10939737668438523,-0.006757531401370198,0.10263984528301424,0.502089061108471,7.59194893898551
0.16,0.112,DIP,90.972259,101.65129,112.16107,-2.04327,-3.95382,-6.75016,90.267,100.467,110.667,20.400000000000006,21.730259430366278,130.8866058691177,73.28107928605918,-131.7287578398767,0.16602355364074323,0.13557915316352231,0.30160270680426615,1.3302594303662723,11.623559167630098
0.17,0.119,MCP,0,15.272523,30.0413856,0,0.28722,0.637166,0,15.4,30,30,30.048261432810477,3074.738431911975,-50.177861201622285,3074.3289685591135,0.009772623622532166,3.1252725373167793,3.1154999136942507,0.048261432810477345,-0.6319637058252625
0.17,0.119,PIP,53.70331,63.90331,74.597684,0.898164,0.651009,-0.234423,53.267,63.467,73.667,20.4,20.936938416485376,179.31713079810314,54.461330913973505,-178.41736461355316,0.11675927627940193,-0.004227276937942169,0.11253199934145931,0.536938416485377,8.117877984333306
0.17,0.119,DIP,91.017985,101.70903,112.20228,-2.39209,-4.46484,-7.4803,90.267,100.467,110.667,20.400000000000006,21.815146753528566,123.48711244430157,72.8826883222252,-124.54027031489733,0.1766592992719642,0.14739293060745828,0.324052229879423,1.4151467535285605,12.348614355410426
0.18,0.126,MCP,0,15.272958000000001,30.0587341,0,0.293559,0.637346,0,15.4,30,30,30.065571600272257,3731.5710707330472,-64.07403604890442,3731.0209291608357,0.008057081328579931,3.1244210162796358,3.116363934951033,0.06557160027225706,-0.5333370371919582
0.18,0.126,PIP,53.745035,63.945035,74.66402000000001,0.857836,0.568836,-0.399802,53.267,63.467,73.667,20.4,20.970099206704397,169.67186843488915,54.04176691269284,-168.81377296378133,0.12359208040873071,-0.0017488583504703446,0.12184322205825975,0.5700992067043984,8.607544562033523
0.18,0.126,DIP,91.059185,101.76053999999999,112.23497,-2.72565,-4.953,-8.17891,90.267,100.467,110.667,20.400000000000006,21.898615056038064,117.03743952433547,72.5871354761499,-118.29617235237545,0.18710777632387207,0.158492985182179,0.34560076150605196,1.4986150560380587,13.058020829194174
0.19,0.133,MCP,0,15.268917,30.066956,0,0.305747,0.659941,0,15.4,30,30,30.07427426233239,3846.641066004104,-69.37564850349811,3846.0154068937254,0.007818320905509801,3.1235562917635025,3.1157379708579787,0.07427426233239132,-0.5172969008013953
0.19,0.133,PIP,53.776473,63.976473,74.72049,0.874009,0.560192,-0.473486,53.267,63.467,73.667,20.4,21.002177517484192,161.16405837909574,53.9228690894413,-160.28998288840407,0.13031551655321397,-9.083669835962342e-4,0.1294071495696159,0.6021775174841935,9.077196174237251
0.19,0.133,DIP,91.093229,101.80692,112.26451,-2.93791,-5.30111,-8.71892,90.267,100.467,110.667,20.400000000000006,21.98210315362363,111.26661573351159,72.51242051263804,-112.64211836387685,0.19756243154075728,0.16777962084225465,0.3653420523830127,1.582103153623624,13.76556240224401
0.2,0.14,MCP,0,15.259071,30.0618907,0,0.326557,0.714621,0,15.4,30,30,30.070499410665036,3124.5550978520323,-59.223074312594576,3123.9937879230947,0.009623929957688033,3.1226374362599136,3.113013506302264,0.07049941066503607,-0.6208432844508261
0.2,0.14,PIP,53.792478,63.992478,74.76242,0.97177,0.658946,-0.4114,53.267,63.467,73.667,20.4,21.031904250522444,153.74642824054504,54.18203791645324,-152.77416470982106,0.13679605107714654,-0.0025337846071933076,0.13426226646995285,0.6319042505224459,9.506373006984687
